# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinning face;face|grin|grinning face
🤮;face vomiting;face vomiting|puke|sick|vomit
🤧;sneezing face;face|gesundheit|sneeze|sneezing face
🥵;hot face;feverish|heat stroke|hot|hot face|red-faced|sweating
🥶;cold face;blue-faced|cold|cold face|freezing|frostbite|icicles
🥴;woozy face;dizzy|intoxicated|tipsy|uneven eyes|wavy mouth|woozy face
😵;face with crossed-out eyes;crossed-out eyes|dead|face|face with crossed-out eyes|knocked out
😵‍💫;face with spiral eyes;
🤯;exploding head;exploding head|mind blown|shocked
🤠;cowboy hat face;cowboy|cowgirl|face|hat
🥳;partying face;celebration|hat|horn|party|partying face
🥸;disguised face;disguise|disguised face|face|glasses|incognito|nose
😎;smiling face with sunglasses;bright|cool|face|smiling face with sunglasses|sun|sunglasses
🤓;nerd face;face|geek|nerd
🧐;face with monocle;face|face with monocle|monocle|stuffy
😕;confused face;confused|face|meh
🫤;face with diagonal mouth;
😟;worried face;face|worried
🙁;slightly frowning face;face|frown|slightly frowning face
☹️;frowning face;face|frown|frowning face
😮;face with open mouth;face|face with open mouth|mouth|open|sympathy
😯;hushed face;face|hushed|stunned|surprised
😲;astonished face;astonished|face|shocked|totally
😳;flushed face;dazed|face|flushed
🥺;pleading face;begging|mercy|pleading face|puppy eyes
🥹;face holding back tears;
😦;frowning face with open mouth;face|frown|frowning face with open mouth|mouth|open
😧;anguished face;anguished|face
😨;fearful face;face|fear|fearful|scared
😰;anxious face with sweat;anxious face with sweat|blue|cold|face|rushed|sweat
😥;sad but relieved face;disappointed|face|relieved|sad but relieved face|whew
😢;crying face;cry|crying face|face|sad|tear
😭;loudly crying face;cry|face|loudly crying face|sad|sob|tear
😱;face screaming in fear;face|face screaming in fear|fear|munch|scared|scream
😖;confounded face;confounded|face
😣;persevering face;face|persevere|persevering face
😞;disappointed face;disappointed|face
😓;downcast face with sweat;cold|downcast face with sweat|face|sweat
😩;weary face;face|tired|weary
😫;tired face;face|tired
🥱;yawning face;bored|tired|yawn|yawning face
😤;face with steam from nose;face|face with steam from nose|triumph|won
😡;enraged face;angry|enraged|face|mad|pouting|rage|red
😠;angry face;anger|angry|face|mad
🤬;face with symbols on mouth;face with symbols on mouth|swearing
😈;smiling face with horns;face|fairy tale|fantasy|horns|smile|smiling face with horns
👿;angry face with horns;angry face with horns|demon|devil|face|fantasy|imp
💀;skull;death|face|fairy tale|monster|skull
☠️;skull and crossbones;crossbones|death|face|monster|skull|skull and crossbones
💩;pile of poo;dung|face|monster|pile of poo|poo|poop
🤡;clown face;clown|face
👹;ogre;creature|face|fairy tale|fantasy|monster|ogre
👺;goblin;creature|face|fairy tale|fantasy|goblin|monster
👻;ghost;creature|face|fairy tale|fantasy|ghost|monster
👽;alien;alien|creature|extraterrestrial|face|fantasy|ufo
👾;alien monster;alien|creature|extraterrestrial|face|monster|ufo
🤖;robot;face|monster|robot
😺;grinning cat;cat|face|grinning|mouth|open|smile
😸;grinning cat with smiling eyes;cat|eye|face|grin|grinning cat with smiling eyes|smile
😹;cat with tears of joy;cat|cat with tears of joy|face|joy|tear
😻;smiling cat with heart-eyes;cat|eye|face|heart|love|smile|smiling cat with heart-eyes
😼;cat with wry smile;cat|cat with wry smile|face|ironic|smile|wry
😽;kissing cat;cat|eye|face|kiss|kissing cat
🙀;weary cat;cat|face|oh|surprised|weary
😿;crying cat;cat|cry|crying cat|face|sad|tear
😾;pouting cat;cat|face|pouting
🙈;see-no-evil monkey;evil|face|forbidden|monkey|see|see-no-evil monkey
🙉;hear-no-evil monkey;evil|face|forbidden|hear|hear-no-evil monkey|monkey
🙊;speak-no-evil monkey;evil|face|forbidden|monkey|speak|speak-no-evil monkey
💌;love letter;heart|letter|love|mail
💘;heart with arrow;arrow|cupid|heart with arrow
💝;heart with ribbon;heart with ribbon|ribbon|valentine
💖;sparkling heart;excited|sparkle|sparkling heart
💗;growing heart;excited|growing|growing heart|nervous|pulse
💓;beating heart;beating|beating heart|heartbeat|pulsating
💞;revolving hearts;revolving|revolving hearts
💕;two hearts;love|two hearts
💟;heart decoration;heart|heart decoration
❣️;heart exclamation;exclamation|heart exclamation|mark|punctuation
💔;broken heart;break|broken|broken heart
❤️‍🔥;heart on fire;
❤️‍🩹;mending heart;
❤️;red heart;heart|red heart
🩷;pink heart;
🧡;orange heart;orange|orange heart
💛;yellow heart;yellow|yellow heart
💚;green heart;green|green heart
💙;blue heart;blue|blue heart
🩵;light blue heart;
💜;purple heart;purple|purple heart
🤎;brown heart;brown|heart
🖤;black heart;black|black heart|evil|wicked
🩶;grey heart;
🤍;white heart;heart|white
💋;kiss mark;kiss|kiss mark|lips
💯;hundred points;100|full|hundred|hundred points|score
💢;anger symbol;anger symbol|angry|comic|mad
💥;collision;boom|collision|comic
💫;dizzy;comic|dizzy|star
💦;sweat droplets;comic|splashing|sweat|sweat droplets
💨;dashing away;comic|dash|dashing away|running
🕳️;hole;hole
💬;speech balloon;balloon|bubble|comic|dialog|speech
👁️‍🗨️;eye in speech bubble;balloon|bubble|eye|eye in speech bubble|speech|witness
🗨️;left speech bubble;balloon|bubble|dialog|left speech bubble|speech
🗯️;right anger bubble;angry|balloon|bubble|mad|right anger bubble
💭;thought balloon;balloon|bubble|comic|thought
💤;ZZZ;comic|good night|sleep|ZZZ

[people_body]
👋;waving hand;hand|wave|waving
	👋🏻;waving hand: light skin tone;hand|light skin tone|wave|waving|waving hand: light skin tone
	👋🏼;waving hand: medium-light skin tone;hand|medium-light skin tone|wave|waving|waving hand: medium-light skin tone
	👋🏽;waving hand: medium skin tone;hand|medium skin tone|wave|waving|waving hand: medium skin tone
	👋🏾;waving hand: medium-dark skin tone;hand|medium-dark skin tone|wave|waving|waving hand: medium-dark skin tone
	👋🏿;waving hand: dark skin tone;dark skin tone|hand|wave|waving|waving hand: dark skin tone
🤚;raised back of hand;backhand|raised|raised back of hand
	🤚🏻;raised back of hand: light skin tone;backhand|light skin tone|raised|raised back of hand|raised back of hand: light skin tone
	🤚🏼;raised back of hand: medium-light skin tone;backhand|medium-light skin tone|raised|raised back of hand|raised back of hand: medium-light skin tone
	🤚🏽;raised back of hand: medium skin tone;backhand|medium skin tone|raised|raised back of hand|raised back of hand: medium skin tone
	🤚🏾;raised back of hand: medium-dark skin tone;backhand|medium-dark skin tone|raised|raised back of hand|raised back of hand: medium-dark skin tone
	🤚🏿;raised back of hand: dark skin tone;backhand|dark skin tone|raised|raised back of hand|raised back of hand: dark skin tone
🖐️;hand with fingers splayed;finger|hand|hand with fingers splayed|splayed
	🖐🏻;hand with fingers splayed: light skin tone;finger|hand|hand with fingers splayed|hand with fingers splayed: light skin tone|light skin tone|splayed
	🖐🏼;hand with fingers splayed: medium-light skin tone;finger|hand|hand with fingers splayed|hand with fingers splayed: medium-light skin tone|medium-light skin tone|splayed
	🖐🏽;hand with fingers splayed: medium skin tone;finger|hand|hand with fingers splayed|hand with fingers splayed: medium skin tone|medium skin tone|splayed
	🖐🏾;hand with fingers splayed: medium-dark skin tone;finger|hand|hand with fingers splayed|hand with fingers splayed: medium-dark skin tone|medium-dark skin tone|splayed
	🖐🏿;hand with fingers splayed: dark skin tone;dark skin tone|finger|hand|hand with fingers splayed|hand with fingers splayed: dark skin tone|splayed
✋;raised hand;hand|high 5|high five|raised hand
	✋🏻;raised hand: light skin tone;hand|high 5|high five|light skin tone|raised hand|raised hand: light skin tone
	✋🏼;raised hand: medium-light skin tone;hand|high 5|high five|medium-light skin tone|raised hand|raised hand: medium-light skin tone
	✋🏽;raised hand: medium skin tone;hand|high 5|high five|medium skin tone|raised hand|raised hand: medium skin tone
	✋🏾;raised hand: medium-dark skin tone;hand|high 5|high five|medium-dark skin tone|raised hand|raised hand: medium-dark skin tone
	✋🏿;raised hand: dark skin tone;dark skin tone|hand|high 5|high five|raised hand|raised hand: dark skin tone
🖖;vulcan salute;finger|hand|spock|vulcan|vulcan salute
	🖖🏻;vulcan salute: light skin tone;finger|hand|light skin tone|spock|vulcan|vulcan salute|vulcan salute: light skin tone
	🖖🏼;vulcan salute: medium-light skin tone;finger|hand|medium-light skin tone|spock|vulcan|vulcan salute|vulcan salute: medium-light skin tone
	🖖🏽;vulcan salute: medium skin tone;finger|hand|medium skin tone|spock|vulcan|vulcan salute|vulcan salute: medium skin tone
	🖖🏾;vulcan salute: medium-dark skin tone;finger|hand|medium-dark skin tone|spock|vulcan|vulcan salute|vulcan salute: medium-dark skin tone
	🖖🏿;vulcan salute: dark skin tone;dark skin tone|finger|hand|spock|vulcan|vulcan salute|vulcan salute: dark skin tone
🫱;rightwards hand;
	🫱🏻;rightwards hand: light skin tone;hand|light skin tone|right|rightward|rightwards hand|rightwards hand: light skin tone
	🫱🏼;rightwards hand: medium-light skin tone;hand|medium-light skin tone|right|rightward|rightwards hand|rightwards hand: medium-light skin tone
	🫱🏽;rightwards hand: medium skin tone;hand|medium skin tone|right|rightward|rightwards hand|rightwards hand: medium skin tone
	🫱🏾;rightwards hand: medium-dark skin tone;hand|medium-dark skin tone|right|rightward|rightwards hand|rightwards hand: medium-dark skin tone
	🫱🏿;rightwards hand: dark skin tone;dark skin tone|hand|right|rightward|rightwards hand|rightwards hand: dark skin tone
🫲;leftwards hand;
	🫲🏻;leftwards hand: light skin tone;hand|left|leftward|leftwards hand|leftwards hand: light skin tone|light skin tone
	🫲🏼;leftwards hand: medium-light skin tone;hand|left|leftward|leftwards hand|leftwards hand: medium-light skin tone|medium-light skin tone
	🫲🏽;leftwards hand: medium skin tone;hand|left|leftward|leftwards hand|leftwards hand: medium skin tone|medium skin tone
	🫲🏾;leftwards hand: medium-dark skin tone;hand|left|leftward|leftwards hand|leftwards hand: medium-dark skin tone|medium-dark skin tone
	🫲🏿;leftwards hand: dark skin tone;dark skin tone|hand|left|leftward|leftwards hand|leftwards hand: dark skin tone
🫳;palm down hand;
	🫳🏻;palm down hand: light skin tone;dismiss|drop|light skin tone|palm down hand|palm down hand: light skin tone|shoo
	🫳🏼;palm down hand: medium-light skin tone;dismiss|drop|medium-light skin tone|palm down hand|palm down hand: medium-light skin tone|shoo
	🫳🏽;palm down hand: medium skin tone;dismiss|drop|medium skin tone|palm down hand|palm down hand: medium skin tone|shoo
	🫳🏾;palm down hand: medium-dark skin tone;dismiss|drop|medium-dark skin tone|palm down hand|palm down hand: medium-dark skin tone|shoo
	🫳🏿;palm down hand: dark skin tone;dark skin tone|dismiss|drop|palm down hand|palm down hand: dark skin tone|shoo
🫴;palm up hand;
	🫴🏻;palm up hand: light skin tone;beckon|catch|come|light skin tone|offer|palm up hand|palm up hand: light skin tone
	🫴🏼;palm up hand: medium-light skin tone;beckon|catch|come|medium-light skin tone|offer|palm up hand|palm up hand: medium-light skin tone
	🫴🏽;palm up hand: medium skin tone;beckon|catch|come|medium skin tone|offer|palm up hand|palm up hand: medium skin tone
	🫴🏾;palm up hand: medium-dark skin tone;beckon|catch|come|medium-dark skin tone|offer|palm up hand|palm up hand: medium-dark skin tone
	🫴🏿;palm up hand: dark skin tone;beckon|catch|come|dark skin tone|offer|palm up hand|palm up hand: dark skin tone
🫷;leftwards pushing hand;
	🫷🏻;leftwards pushing hand: light skin tone;high five|leftward|leftwards pushing hand|leftwards pushing hand: light skin tone|light skin tone|push|refuse|stop|wait
	🫷🏼;leftwards pushing hand: medium-light skin tone;high five|leftward|leftwards pushing hand|leftwards pushing hand: medium-light skin tone|medium-light skin tone|push|refuse|stop|wait
	🫷🏽;leftwards pushing hand: medium skin tone;high five|leftward|leftwards pushing hand|leftwards pushing hand: medium skin tone|medium skin tone|push|refuse|stop|wait
	🫷🏾;leftwards pushing hand: medium-dark skin tone;high five|leftward|leftwards pushing hand|leftwards pushing hand: medium-dark skin tone|medium-dark skin tone|push|refuse|stop|wait
	🫷🏿;leftwards pushing hand: dark skin tone;dark skin tone|high five|leftward|leftwards pushing hand|leftwards pushing hand: dark skin tone|push|refuse|stop|wait
🫸;rightwards pushing hand;
	🫸🏻;rightwards pushing hand: light skin tone;high five|light skin tone|push|refuse|rightward|rightwards pushing hand|rightwards pushing hand: light skin tone|stop|wait
	🫸🏼;rightwards pushing hand: medium-light skin tone;high five|medium-light skin tone|push|refuse|rightward|rightwards pushing hand|rightwards pushing hand: medium-light skin tone|stop|wait
	🫸🏽;rightwards pushing hand: medium skin tone;high five|medium skin tone|push|refuse|rightward|rightwards pushing hand|rightwards pushing hand: medium skin tone|stop|wait
	🫸🏾;rightwards pushing hand: medium-dark skin tone;high five|medium-dark skin tone|push|refuse|rightward|rightwards pushing hand|rightwards pushing hand: medium-dark skin tone|stop|wait
	🫸🏿;rightwards pushing hand: dark skin tone;dark skin tone|high five|push|refuse|rightward|rightwards pushing hand|rightwards pushing hand: dark skin tone|stop|wait
👌;OK hand;hand|OK
	👌🏻;OK hand: light skin tone;hand|light skin tone|OK|OK hand: light skin tone
	👌🏼;OK hand: medium-light skin tone;hand|medium-light skin tone|OK|OK hand: medium-light skin tone
	👌🏽;OK hand: medium skin tone;hand|medium skin tone|OK|OK hand: medium skin tone
	👌🏾;OK hand: medium-dark skin tone;hand|medium-dark skin tone|OK|OK hand: medium-dark skin tone
	👌🏿;OK hand: dark skin tone;dark skin tone|hand|OK|OK hand: dark skin tone
🤌;pinched fingers;fingers|hand gesture|interrogation|pinched|sarcastic
	🤌🏻;pinched fingers: light skin tone;fingers|hand gesture|interrogation|light skin tone|pinched|pinched fingers: light skin tone|sarcastic
	🤌🏼;pinched fingers: medium-light skin tone;fingers|hand gesture|interrogation|medium-light skin tone|pinched|pinched fingers: medium-light skin tone|sarcastic
	🤌🏽;pinched fingers: medium skin tone;fingers|hand gesture|interrogation|medium skin tone|pinched|pinched fingers: medium skin tone|sarcastic
	🤌🏾;pinched fingers: medium-dark skin tone;fingers|hand gesture|interrogation|medium-dark skin tone|pinched|pinched fingers: medium-dark skin tone|sarcastic
	🤌🏿;pinched fingers: dark skin tone;dark skin tone|fingers|hand gesture|interrogation|pinched|pinched fingers: dark skin tone|sarcastic
🤏;pinching hand;pinching hand|small amount
	🤏🏻;pinching hand: light skin tone;light skin tone|pinching hand|pinching hand: light skin tone|small amount
	🤏🏼;pinching hand: medium-light skin tone;medium-light skin tone|pinching hand|pinching hand: medium-light skin tone|small amount
	🤏🏽;pinching hand: medium skin tone;medium skin tone|pinching hand|pinching hand: medium skin tone|small amount
	🤏🏾;pinching hand: medium-dark skin tone;medium-dark skin tone|pinching hand|pinching hand: medium-dark skin tone|small amount
	🤏🏿;pinching hand: dark skin tone;dark skin tone|pinching hand|pinching hand: dark skin tone|small amount
✌️;victory hand;hand|v|victory
	✌🏻;victory hand: light skin tone;hand|light skin tone|v|victory|victory hand: light skin tone
	✌🏼;victory hand: medium-light skin tone;hand|medium-light skin tone|v|victory|victory hand: medium-light skin tone
	✌🏽;victory hand: medium skin tone;hand|medium skin tone|v|victory|victory hand: medium skin tone
	✌🏾;victory hand: medium-dark skin tone;hand|medium-dark skin tone|v|victory|victory hand: medium-dark skin tone
	✌🏿;victory hand: dark skin tone;dark skin tone|hand|v|victory|victory hand: dark skin tone
🤞;crossed fingers;cross|crossed fingers|finger|hand|luck
	🤞🏻;crossed fingers: light skin tone;cross|crossed fingers|crossed fingers: light skin tone|finger|hand|light skin tone|luck
	🤞🏼;crossed fingers: medium-light skin tone;cross|crossed fingers|crossed fingers: medium-light skin tone|finger|hand|luck|medium-light skin tone
	🤞🏽;crossed fingers: medium skin tone;cross|crossed fingers|crossed fingers: medium skin tone|finger|hand|luck|medium skin tone
	🤞🏾;crossed fingers: medium-dark skin tone;cross|crossed fingers|crossed fingers: medium-dark skin tone|finger|hand|luck|medium-dark skin tone
	🤞🏿;crossed fingers: dark skin tone;cross|crossed fingers|crossed fingers: dark skin tone|dark skin tone|finger|hand|luck
🫰;hand with index finger and thumb crossed;
	🫰🏻;hand with index finger and thumb crossed: light skin tone;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: light skin tone|heart|light skin tone|love|money|snap
	🫰🏼;hand with index finger and thumb crossed: medium-light skin tone;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: medium-light skin tone|heart|love|medium-light skin tone|money|snap
	🫰🏽;hand with index finger and thumb crossed: medium skin tone;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: medium skin tone|heart|love|medium skin tone|money|snap
	🫰🏾;hand with index finger and thumb crossed: medium-dark skin tone;expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: medium-dark skin tone|heart|love|medium-dark skin tone|money|snap
	🫰🏿;hand with index finger and thumb crossed: dark skin tone;dark skin tone|expensive|hand with index finger and thumb crossed|hand with index finger and thumb crossed: dark skin tone|heart|love|money|snap
🤟;love-you gesture;hand|ILY|love-you gesture
	🤟🏻;love-you gesture: light skin tone;hand|ILY|light skin tone|love-you gesture|love-you gesture: light skin tone
	🤟🏼;love-you gesture: medium-light skin tone;hand|ILY|love-you gesture|love-you gesture: medium-light skin tone|medium-light skin tone
	🤟🏽;love-you gesture: medium skin tone;hand|ILY|love-you gesture|love-you gesture: medium skin tone|medium skin tone
	🤟🏾;love-you gesture: medium-dark skin tone;hand|ILY|love-you gesture|love-you gesture: medium-dark skin tone|medium-dark skin tone
	🤟🏿;love-you gesture: dark skin tone;dark skin tone|hand|ILY|love-you gesture|love-you gesture: dark skin tone
🤘;sign of the horns;finger|hand|horns|rock-on|sign of the horns
	🤘🏻;sign of the horns: light skin tone;finger|hand|horns|light skin tone|rock-on|sign of the horns|sign of the horns: light skin tone
	🤘🏼;sign of the horns: medium-light skin tone;finger|hand|horns|medium-light skin tone|rock-on|sign of the horns|sign of the horns: medium-light skin tone
	🤘🏽;sign of the horns: medium skin tone;finger|hand|horns|medium skin tone|rock-on|sign of the horns|sign of the horns: medium skin tone
	🤘🏾;sign of the horns: medium-dark skin tone;finger|hand|horns|medium-dark skin tone|rock-on|sign of the horns|sign of the horns: medium-dark skin tone
	🤘🏿;sign of the horns: dark skin tone;dark skin tone|finger|hand|horns|rock-on|sign of the horns|sign of the horns: dark skin tone
🤙;call me hand;call|call me hand|hand|hang loose|Shaka
	🤙🏻;call me hand: light skin tone;call|call me hand|call me hand: light skin tone|hand|hang loose|light skin tone|Shaka
	🤙🏼;call me hand: medium-light skin tone;call|call me hand|call me hand: medium-light skin tone|hand|hang loose|medium-light skin tone|Shaka
	🤙🏽;call me hand: medium skin tone;call|call me hand|call me hand: medium skin tone|hand|hang loose|medium skin tone|Shaka
	🤙🏾;call me hand: medium-dark skin tone;call|call me hand|call me hand: medium-dark skin tone|hand|hang loose|medium-dark skin tone|Shaka
	🤙🏿;call me hand: dark skin tone;call|call me hand|call me hand: dark skin tone|dark skin tone|hand|hang loose|Shaka
👈;backhand index pointing left;backhand|backhand index pointing left|finger|hand|index|point
	👈🏻;backhand index pointing left: light skin tone;backhand|backhand index pointing left|backhand index pointing left: light skin tone|finger|hand|index|light skin tone|point
	👈🏼;backhand index pointing left: medium-light skin tone;backhand|backhand index pointing left|backhand index pointing left: medium-light skin tone|finger|hand|index|medium-light skin tone|point
	👈🏽;backhand index pointing left: medium skin tone;backhand|backhand index pointing left|backhand index pointing left: medium skin tone|finger|hand|index|medium skin tone|point
	👈🏾;backhand index pointing left: medium-dark skin tone;backhand|backhand index pointing left|backhand index pointing left: medium-dark skin tone|finger|hand|index|medium-dark skin tone|point
	👈🏿;backhand index pointing left: dark skin tone;backhand|backhand index pointing left|backhand index pointing left: dark skin tone|dark skin tone|finger|hand|index|point
👉;backhand index pointing right;backhand|backhand index pointing right|finger|hand|index|point
	👉🏻;backhand index pointing right: light skin tone;backhand|backhand index pointing right|backhand index pointing right: light skin tone|finger|hand|index|light skin tone|point
	👉🏼;backhand index pointing right: medium-light skin tone;backhand|backhand index pointing right|backhand index pointing right: medium-light skin tone|finger|hand|index|medium-light skin tone|point
	👉🏽;backhand index pointing right: medium skin tone;backhand|backhand index pointing right|backhand index pointing right: medium skin tone|finger|hand|index|medium skin tone|point
	👉🏾;backhand index pointing right: medium-dark skin tone;backhand|backhand index pointing right|backhand index pointing right: medium-dark skin tone|finger|hand|index|medium-dark skin tone|point
	👉🏿;backhand index pointing right: dark skin tone;backhand|backhand index pointing right|backhand index pointing right: dark skin tone|dark skin tone|finger|hand|index|point
👆;backhand index pointing up;backhand|backhand index pointing up|finger|hand|point|up
	👆🏻;backhand index pointing up: light skin tone;backhand|backhand index pointing up|backhand index pointing up: light skin tone|finger|hand|light skin tone|point|up
	👆🏼;backhand index pointing up: medium-light skin tone;backhand|backhand index pointing up|backhand index pointing up: medium-light skin tone|finger|hand|medium-light skin tone|point|up
	👆🏽;backhand index pointing up: medium skin tone;backhand|backhand index pointing up|backhand index pointing up: medium skin tone|finger|hand|medium skin tone|point|up
	👆🏾;backhand index pointing up: medium-dark skin tone;backhand|backhand index pointing up|backhand index pointing up: medium-dark skin tone|finger|hand|medium-dark skin tone|point|up
	👆🏿;backhand index pointing up: dark skin tone;backhand|backhand index pointing up|backhand index pointing up: dark skin tone|dark skin tone|finger|hand|point|up
🖕;middle finger;finger|hand|middle finger
	🖕🏻;middle finger: light skin tone;finger|hand|light skin tone|middle finger|middle finger: light skin tone
	🖕🏼;middle finger: medium-light skin tone;finger|hand|medium-light skin tone|middle finger|middle finger: medium-light skin tone
	🖕🏽;middle finger: medium skin tone;finger|hand|medium skin tone|middle finger|middle finger: medium skin tone
	🖕🏾;middle finger: medium-dark skin tone;finger|hand|medium-dark skin tone|middle finger|middle finger: medium-dark skin tone
	🖕🏿;middle finger: dark skin tone;dark skin tone|finger|hand|middle finger|middle finger: dark skin tone
👇;backhand index pointing down;backhand|backhand index pointing down|down|finger|hand|point
	👇🏻;backhand index pointing down: light skin tone;backhand|backhand index pointing down|backhand index pointing down: light skin tone|down|finger|hand|light skin tone|point
	👇🏼;backhand index pointing down: medium-light skin tone;backhand|backhand index pointing down|backhand index pointing down: medium-light skin tone|down|finger|hand|medium-light skin tone|point
	👇🏽;backhand index pointing down: medium skin tone;backhand|backhand index pointing down|backhand index pointing down: medium skin tone|down|finger|hand|medium skin tone|point
	👇🏾;backhand index pointing down: medium-dark skin tone;backhand|backhand index pointing down|backhand index pointing down: medium-dark skin tone|down|finger|hand|medium-dark skin tone|point
	👇🏿;backhand index pointing down: dark skin tone;backhand|backhand index pointing down|backhand index pointing down: dark skin tone|dark skin tone|down|finger|hand|point
☝️;index pointing up;finger|hand|index|index pointing up|point|up
	☝🏻;index pointing up: light skin tone;finger|hand|index|index pointing up|index pointing up: light skin tone|light skin tone|point|up
	☝🏼;index pointing up: medium-light skin tone;finger|hand|index|index pointing up|index pointing up: medium-light skin tone|medium-light skin tone|point|up
	☝🏽;index pointing up: medium skin tone;finger|hand|index|index pointing up|index pointing up: medium skin tone|medium skin tone|point|up
	☝🏾;index pointing up: medium-dark skin tone;finger|hand|index|index pointing up|index pointing up: medium-dark skin tone|medium-dark skin tone|point|up
	☝🏿;index pointing up: dark skin tone;dark skin tone|finger|hand|index|index pointing up|index pointing up: dark skin tone|point|up
🫵;index pointing at the viewer;
	🫵🏻;index pointing at the viewer: light skin tone;index pointing at the viewer|index pointing at the viewer: light skin tone|light skin tone|point|you
	🫵🏼;index pointing at the viewer: medium-light skin tone;index pointing at the viewer|index pointing at the viewer: medium-light skin tone|medium-light skin tone|point|you
	🫵🏽;index pointing at the viewer: medium skin tone;index pointing at the viewer|index pointing at the viewer: medium skin tone|medium skin tone|point|you
	🫵🏾;index pointing at the viewer: medium-dark skin tone;index pointing at the viewer|index pointing at the viewer: medium-dark skin tone|medium-dark skin tone|point|you
	🫵🏿;index pointing at the viewer: dark skin tone;dark skin tone|index pointing at the viewer|index pointing at the viewer: dark skin tone|point|you
👍;thumbs up;+1|hand|thumb|thumbs up|up
	👍🏻;thumbs up: light skin tone;+1|hand|light skin tone|thumb|thumbs up|thumbs up: light skin tone|up
	👍🏼;thumbs up: medium-light skin tone;+1|hand|medium-light skin tone|thumb|thumbs up|thumbs up: medium-light skin tone|up
	👍🏽;thumbs up: medium skin tone;+1|hand|medium skin tone|thumb|thumbs up|thumbs up: medium skin tone|up
	👍🏾;thumbs up: medium-dark skin tone;+1|hand|medium-dark skin tone|thumb|thumbs up|thumbs up: medium-dark skin tone|up
	👍🏿;thumbs up: dark skin tone;+1|dark skin tone|hand|thumb|thumbs up|thumbs up: dark skin tone|up
