# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara sonriendo;cara|cara sonriendo|divertido|feliz|sonrisa
	👋🏽;mano saludando: tono de piel medio;agitar|mano|mano saludando|mano saludando: tono de piel medio|saludar|saludo|tono de piel medio
	👋🏾;mano saludando: tono de piel oscuro medio;agitar|mano|mano saludando|mano saludando: tono de piel oscuro medio|saludar|saludo|tono de piel oscuro medio
	👋🏿;mano saludando: tono de piel oscuro;agitar|mano|mano saludando|mano saludando: tono de piel oscuro|saludar|saludo|tono de piel oscuro
🤚;dorso de la mano;dorso|dorso de la mano|levantado|mano
	🤚🏻;dorso de la mano: tono de piel claro;dorso|dorso de la mano|dorso de la mano: tono de piel claro|levantado|mano|tono de piel claro
	🤚🏼;dorso de la mano: tono de piel claro medio;dorso|dorso de la mano|dorso de la mano: tono de piel claro medio|levantado|mano|tono de piel claro medio
	🤚🏽;dorso de la mano: tono de piel medio;dorso|dorso de la mano|dorso de la mano: tono de piel medio|levantado|mano|tono de piel medio
	🤚🏾;dorso de la mano: tono de piel oscuro medio;dorso|dorso de la mano|dorso de la mano: tono de piel oscuro medio|levantado|mano|tono de piel oscuro medio
	🤚🏿;dorso de la mano: tono de piel oscuro;dorso|dorso de la mano|dorso de la mano: tono de piel oscuro|levantado|mano|tono de piel oscuro
🖐️;mano abierta;abierta|dedo|mano
	🖐🏻;mano abierta: tono de piel claro;abierta|dedo|mano|mano abierta: tono de piel claro|tono de piel claro
	🖐🏼;mano abierta: tono de piel claro medio;abierta|dedo|mano|mano abierta: tono de piel claro medio|tono de piel claro medio
	🖐🏽;mano abierta: tono de piel medio;abierta|dedo|mano|mano abierta: tono de piel medio|tono de piel medio
	🖐🏾;mano abierta: tono de piel oscuro medio;abierta|dedo|mano|mano abierta: tono de piel oscuro medio|tono de piel oscuro medio
	🖐🏿;mano abierta: tono de piel oscuro;abierta|dedo|mano|mano abierta: tono de piel oscuro|tono de piel oscuro
✋;mano levantada;choca esos cinco|levantada|mano
	✋🏻;mano levantada: tono de piel claro;choca esos cinco|levantada|mano|mano levantada: tono de piel claro|tono de piel claro
	✋🏼;mano levantada: tono de piel claro medio;choca esos cinco|levantada|mano|mano levantada: tono de piel claro medio|tono de piel claro medio
	✋🏽;mano levantada: tono de piel medio;choca esos cinco|levantada|mano|mano levantada: tono de piel medio|tono de piel medio
	✋🏾;mano levantada: tono de piel oscuro medio;choca esos cinco|levantada|mano|mano levantada: tono de piel oscuro medio|tono de piel oscuro medio
	✋🏿;mano levantada: tono de piel oscuro;choca esos cinco|levantada|mano|mano levantada: tono de piel oscuro|tono de piel oscuro
🖖;saludo vulcano;mano|saludo|spock|vulcano
	🖖🏻;saludo vulcano: tono de piel claro;mano|saludo|saludo vulcano: tono de piel claro|spock|tono de piel claro|vulcano
	🖖🏼;saludo vulcano: tono de piel claro medio;mano|saludo|saludo vulcano: tono de piel claro medio|spock|tono de piel claro medio|vulcano
	🖖🏽;saludo vulcano: tono de piel medio;mano|saludo|saludo vulcano: tono de piel medio|spock|tono de piel medio|vulcano
	🖖🏾;saludo vulcano: tono de piel oscuro medio;mano|saludo|saludo vulcano: tono de piel oscuro medio|spock|tono de piel oscuro medio|vulcano
	🖖🏿;saludo vulcano: tono de piel oscuro;mano|saludo|saludo vulcano: tono de piel oscuro|spock|tono de piel oscuro|vulcano
🫱;mano hacia la derecha;a la derecha|derecha|mano|mano hacia la derecha
	🫱🏻;mano hacia la derecha: tono de piel claro;a la derecha|derecha|mano|mano hacia la derecha|mano hacia la derecha: tono de piel claro|tono de piel claro
	🫱🏼;mano hacia la derecha: tono de piel claro medio;a la derecha|derecha|mano|mano hacia la derecha|mano hacia la derecha: tono de piel claro medio|tono de piel claro medio
	🫱🏽;mano hacia la derecha: tono de piel medio;a la derecha|derecha|mano|mano hacia la derecha|mano hacia la derecha: tono de piel medio|tono de piel medio
	🫱🏾;mano hacia la derecha: tono de piel oscuro medio;a la derecha|derecha|mano|mano hacia la derecha|mano hacia la derecha: tono de piel oscuro medio|tono de piel oscuro medio
	🫱🏿;mano hacia la derecha: tono de piel oscuro;a la derecha|derecha|mano|mano hacia la derecha|mano hacia la derecha: tono de piel oscuro|tono de piel oscuro
🫲;mano hacia la izquierda;a la izquierda|izquierda|mano|mano hacia la izquierda
	🫲🏻;mano hacia la izquierda: tono de piel claro;a la izquierda|izquierda|mano|mano hacia la izquierda|mano hacia la izquierda: tono de piel claro|tono de piel claro
	🫲🏼;mano hacia la izquierda: tono de piel claro medio;a la izquierda|izquierda|mano|mano hacia la izquierda|mano hacia la izquierda: tono de piel claro medio|tono de piel claro medio
	🫲🏽;mano hacia la izquierda: tono de piel medio;a la izquierda|izquierda|mano|mano hacia la izquierda|mano hacia la izquierda: tono de piel medio|tono de piel medio
	🫲🏾;mano hacia la izquierda: tono de piel oscuro medio;a la izquierda|izquierda|mano|mano hacia la izquierda|mano hacia la izquierda: tono de piel oscuro medio|tono de piel oscuro medio
	🫲🏿;mano hacia la izquierda: tono de piel oscuro;a la izquierda|izquierda|mano|mano hacia la izquierda|mano hacia la izquierda: tono de piel oscuro|tono de piel oscuro
🫳;mano con la palma hacia abajo;bajar|descartar|fuera|mano con la palma hacia abajo|no|quita|rechazar
	🫳🏻;mano con la palma hacia abajo: tono de piel claro;bajar|descartar|fuera|mano con la palma hacia abajo|mano con la palma hacia abajo: tono de piel claro|no|quita|rechazar|tono de piel claro
	🫳🏼;mano con la palma hacia abajo: tono de piel claro medio;bajar|descartar|fuera|mano con la palma hacia abajo|mano con la palma hacia abajo: tono de piel claro medio|no|quita|rechazar|tono de piel claro medio
	🫳🏽;mano con la palma hacia abajo: tono de piel medio;bajar|descartar|fuera|mano con la palma hacia abajo|mano con la palma hacia abajo: tono de piel medio|no|quita|rechazar|tono de piel medio
	🫳🏾;mano con la palma hacia abajo: tono de piel oscuro medio;bajar|descartar|fuera|mano con la palma hacia abajo|mano con la palma hacia abajo: tono de piel oscuro medio|no|quita|rechazar|tono de piel oscuro medio
	🫳🏿;mano con la palma hacia abajo: tono de piel oscuro;bajar|descartar|fuera|mano con la palma hacia abajo|mano con la palma hacia abajo: tono de piel oscuro|no|quita|rechazar|tono de piel oscuro
🫴;mano con la palma hacia arriba;acércate|dame|mano con la palma hacia arriba|ofrecer|trae|ven
	🫴🏻;mano con la palma hacia arriba: tono de piel claro;acércate|dame|mano con la palma hacia arriba|mano con la palma hacia arriba: tono de piel claro|ofrecer|tono de piel claro|trae|ven
	🫴🏼;mano con la palma hacia arriba: tono de piel claro medio;acércate|dame|mano con la palma hacia arriba|mano con la palma hacia arriba: tono de piel claro medio|ofrecer|tono de piel claro medio|trae|ven
	🫴🏽;mano con la palma hacia arriba: tono de piel medio;acércate|dame|mano con la palma hacia arriba|mano con la palma hacia arriba: tono de piel medio|ofrecer|tono de piel medio|trae|ven
	🫴🏾;mano con la palma hacia arriba: tono de piel oscuro medio;acércate|dame|mano con la palma hacia arriba|mano con la palma hacia arriba: tono de piel oscuro medio|ofrecer|tono de piel oscuro medio|trae|ven
	🫴🏿;mano con la palma hacia arriba: tono de piel oscuro;acércate|dame|mano con la palma hacia arriba|mano con la palma hacia arriba: tono de piel oscuro|ofrecer|tono de piel oscuro|trae|ven
🫷;mano empujando hacia la izquierda;a la izquierda|choca esos cinco|detener|empujar|mano empujando hacia la izquierda|rechazar|stop
	🫷🏻;mano empujando hacia la izquierda: tono de piel claro;a la izquierda|choca esos cinco|detener|empujar|mano empujando hacia la izquierda|mano empujando hacia la izquierda: tono de piel claro|rechazar|stop|tono de piel claro
	🫷🏼;mano empujando hacia la izquierda: tono de piel claro medio;a la izquierda|choca esos cinco|detener|empujar|mano empujando hacia la izquierda|mano empujando hacia la izquierda: tono de piel claro medio|rechazar|stop|tono de piel claro medio
	🫷🏽;mano empujando hacia la izquierda: tono de piel medio;a la izquierda|choca esos cinco|detener|empujar|mano empujando hacia la izquierda|mano empujando hacia la izquierda: tono de piel medio|rechazar|stop|tono de piel medio
	🫷🏾;mano empujando hacia la izquierda: tono de piel oscuro medio;a la izquierda|choca esos cinco|detener|empujar|mano empujando hacia la izquierda|mano empujando hacia la izquierda: tono de piel oscuro medio|rechazar|stop|tono de piel oscuro medio
	🫷🏿;mano empujando hacia la izquierda: tono de piel oscuro;a la izquierda|choca esos cinco|detener|empujar|mano empujando hacia la izquierda|mano empujando hacia la izquierda: tono de piel oscuro|rechazar|stop|tono de piel oscuro
🫸;mano empujando hacia la derecha;a la derecha|choca esos cinco|detener|empujar|mano empujando hacia la derecha|rechazar|stop
	🫸🏻;mano empujando hacia la derecha: tono de piel claro;a la derecha|choca esos cinco|detener|empujar|mano empujando hacia la derecha|mano empujando hacia la derecha: tono de piel claro|rechazar|stop|tono de piel claro
	🫸🏼;mano empujando hacia la derecha: tono de piel claro medio;a la derecha|choca esos cinco|detener|empujar|mano empujando hacia la derecha|mano empujando hacia la derecha: tono de piel claro medio|rechazar|stop|tono de piel claro medio
	🫸🏽;mano empujando hacia la derecha: tono de piel medio;a la derecha|choca esos cinco|detener|empujar|mano empujando hacia la derecha|mano empujando hacia la derecha: tono de piel medio|rechazar|stop|tono de piel medio
	🫸🏾;mano empujando hacia la derecha: tono de piel oscuro medio;a la derecha|choca esos cinco|detener|empujar|mano empujando hacia la derecha|mano empujando hacia la derecha: tono de piel oscuro medio|rechazar|stop|tono de piel oscuro medio
	🫸🏿;mano empujando hacia la derecha: tono de piel oscuro;a la derecha|choca esos cinco|detener|empujar|mano empujando hacia la derecha|mano empujando hacia la derecha: tono de piel oscuro|rechazar|stop|tono de piel oscuro
👌;señal de aprobación con la mano;aprobación|mano|ok|señal de aprobación con la mano
	👌🏻;señal de aprobación con la mano: tono de piel claro;aprobación|mano|ok|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel claro|tono de piel claro
	👌🏼;señal de aprobación con la mano: tono de piel claro medio;aprobación|mano|ok|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel claro medio|tono de piel claro medio
	👌🏽;señal de aprobación con la mano: tono de piel medio;aprobación|mano|ok|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel medio|tono de piel medio
	👌🏾;señal de aprobación con la mano: tono de piel oscuro medio;aprobación|mano|ok|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel oscuro medio|tono de piel oscuro medio
	👌🏿;señal de aprobación con la mano: tono de piel oscuro;aprobación|mano|ok|señal de aprobación con la mano|señal de aprobación con la mano: tono de piel oscuro|tono de piel oscuro
🤌;dedos juntos apuntando hacia arriba;dedos|dedos juntos apuntando hacia arriba|gesto|italia|italiano|mano|sarcasmo
	🤌🏻;dedos juntos apuntando hacia arriba: tono de piel claro;dedos|dedos juntos apuntando hacia arriba|dedos juntos apuntando hacia arriba: tono de piel claro|gesto|italia|italiano|mano|sarcasmo|tono de piel claro
	🤌🏼;dedos juntos apuntando hacia arriba: tono de piel claro medio;dedos|dedos juntos apuntando hacia arriba|dedos juntos apuntando hacia arriba: tono de piel claro medio|gesto|italia|italiano|mano|sarcasmo|tono de piel claro medio
	🤌🏽;dedos juntos apuntando hacia arriba: tono de piel medio;dedos|dedos juntos apuntando hacia arriba|dedos juntos apuntando hacia arriba: tono de piel medio|gesto|italia|italiano|mano|sarcasmo|tono de piel medio
	🤌🏾;dedos juntos apuntando hacia arriba: tono de piel oscuro medio;dedos|dedos juntos apuntando hacia arriba|dedos juntos apuntando hacia arriba: tono de piel oscuro medio|gesto|italia|italiano|mano|sarcasmo|tono de piel oscuro medio
	🤌🏿;dedos juntos apuntando hacia arriba: tono de piel oscuro;dedos|dedos juntos apuntando hacia arriba|dedos juntos apuntando hacia arriba: tono de piel oscuro|gesto|italia|italiano|mano|sarcasmo|tono de piel oscuro
🤏;mano pellizcando;mano pellizcando|pellizco|poco|poquito
	🤏🏻;mano pellizcando: tono de piel claro;mano pellizcando|mano pellizcando: tono de piel claro|pellizco|poco|poquito|tono de piel claro
	🤏🏼;mano pellizcando: tono de piel claro medio;mano pellizcando|mano pellizcando: tono de piel claro medio|pellizco|poco|poquito|tono de piel claro medio
	🤏🏽;mano pellizcando: tono de piel medio;mano pellizcando|mano pellizcando: tono de piel medio|pellizco|poco|poquito|tono de piel medio
	🤏🏾;mano pellizcando: tono de piel oscuro medio;mano pellizcando|mano pellizcando: tono de piel oscuro medio|pellizco|poco|poquito|tono de piel oscuro medio
	🤏🏿;mano pellizcando: tono de piel oscuro;mano pellizcando|mano pellizcando: tono de piel oscuro|pellizco|poco|poquito|tono de piel oscuro
✌️;mano con señal de victoria;mano|mano con señal de victoria|señal de victoria|victoria
	✌🏻;mano con señal de victoria: tono de piel claro;mano|mano con señal de victoria|mano con señal de victoria: tono de piel claro|señal de victoria|tono de piel claro|victoria
	✌🏼;mano con señal de victoria: tono de piel claro medio;mano|mano con señal de victoria|mano con señal de victoria: tono de piel claro medio|señal de victoria|tono de piel claro medio|victoria
	✌🏽;mano con señal de victoria: tono de piel medio;mano|mano con señal de victoria|mano con señal de victoria: tono de piel medio|señal de victoria|tono de piel medio|victoria
	✌🏾;mano con señal de victoria: tono de piel oscuro medio;mano|mano con señal de victoria|mano con señal de victoria: tono de piel oscuro medio|señal de victoria|tono de piel oscuro medio|victoria
	✌🏿;mano con señal de victoria: tono de piel oscuro;mano|mano con señal de victoria|mano con señal de victoria: tono de piel oscuro|señal de victoria|tono de piel oscuro|victoria
🤞;dedos cruzados;cruzar|dedos|dedos cruzados|mano|suerte
	🤞🏻;dedos cruzados: tono de piel claro;cruzar|dedos|dedos cruzados|dedos cruzados: tono de piel claro|mano|suerte|tono de piel claro
	🤞🏼;dedos cruzados: tono de piel claro medio;cruzar|dedos|dedos cruzados|dedos cruzados: tono de piel claro medio|mano|suerte|tono de piel claro medio
	🤞🏽;dedos cruzados: tono de piel medio;cruzar|dedos|dedos cruzados|dedos cruzados: tono de piel medio|mano|suerte|tono de piel medio
	🤞🏾;dedos cruzados: tono de piel oscuro medio;cruzar|dedos|dedos cruzados|dedos cruzados: tono de piel oscuro medio|mano|suerte|tono de piel oscuro medio
	🤞🏿;dedos cruzados: tono de piel oscuro;cruzar|dedos|dedos cruzados|dedos cruzados: tono de piel oscuro|mano|suerte|tono de piel oscuro
🫰;mano con dedo índice y pulgar cruzados;amor|caro|chasquido|corazón|dinero|mano con dedo índice y pulgar cruzados
	🫰🏻;mano con dedo índice y pulgar cruzados: tono de piel claro;amor|caro|chasquido|corazón|dinero|mano con dedo índice y pulgar cruzados|mano con dedo índice y pulgar cruzados: tono de piel claro|tono de piel claro
	🫰🏼;mano con dedo índice y pulgar cruzados: tono de piel claro medio;amor|caro|chasquido|corazón|dinero|mano con dedo índice y pulgar cruzados|mano con dedo índice y pulgar cruzados: tono de piel claro medio|tono de piel claro medio
	🫰🏽;mano con dedo índice y pulgar cruzados: tono de piel medio;amor|caro|chasquido|corazón|dinero|mano con dedo índice y pulgar cruzados|mano con dedo índice y pulgar cruzados: tono de piel medio|tono de piel medio
