# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;faccina con un gran sorriso;faccina|faccina che sogghigna|faccina con un gran sorriso|risata|sogghignare
😋;faccina che si lecca i baffi;buono|cibo delizioso|faccina|faccina che si lecca i baffi|gnam
😛;faccina che mostra la lingua;faccina|faccina che mostra la lingua|faccina con lingua fuori|linguaccia
😜;faccina che fa l’occhiolino e mostra la lingua;faccina|faccina che fa l’occhiolino e mostra la lingua|linguaccia con occhiolino|occhiolino|scherzo
🤪;faccina impazzita;faccina impazzita|grande|occhio|piccolo
😝;faccina che strizza gli occhi e mostra la lingua;bleah|faccina|faccina che strizza gli occhi e mostra la lingua|faccina con un gran sorriso che mostra la lingua|linguaccia|orribile
🤑;faccina avida di denaro;avidità|faccina avida di denaro|guadagnare|ricchezza|soldi
🤗;faccina che abbraccia;abbraccio|faccina|faccina che abbraccia|sorriso
🤭;faccina con mano sulla bocca;faccina con mano sulla bocca|oops
🫢;faccina con occhi aperti e mano sulla bocca;faccina con occhi aperti e mano sulla bocca|imbarazzo|incredulità|meraviglia|sorpresa|spavento|stupore
🫣;faccina che sbircia tra le dita;faccina che sbircia tra le dita|fissare|incuriosito|sbirciare|spiare
🤫;faccina che zittisce;faccina che zittisce|silenzio|zittire
🤔;faccina concentrata;concentrarsi|faccina|faccina concentrata|pensare
🫡;faccina che fa il saluto;faccina che fa il saluto|militare|ok|saluto|signorsì|soleggiato|truppe
🤐;faccina con bocca con cerniera;bocca cucita|faccina con bocca con cerniera|no comment|non posso parlare|zitto
🤨;faccia con sopracciglia alzate;diffidente|faccia con sopracciglia alzate|scettico
😐;faccina neutra;faccina|impassibile|neutra|no comment
😑;faccina inespressiva;faccina|inespressiva|no comment
😶;faccina senza bocca;faccina|faccina senza bocca|non posso parlare|senza bocca
🫥;faccina tratteggiata;depresso|faccina tratteggiata|introverso|invisibile|nascondersi|scomparire|sparire
😶‍🌫️;testa tra le nuvole;annebbiato|distratto|sbadato|testa tra le nuvole
😏;faccina con sorrisetto;faccina|faccina che sorride|faccina con sorrisetto|furbetto|malizioso
😒;faccina contrariata;contrariata|faccina|triste
🙄;faccina con occhi al cielo;faccina|faccina con occhi al cielo|guardare altrove|roteare gli occhi|sollevare gli occhi al cielo
😬;faccina con smorfia;faccina|faccina con smorfia
😮‍💨;faccina che espira;ansimare|espirare|faccina che espira|fischiare|sollievo|stanco|sussurrare
🤥;faccina bugiarda;bugia|bugiardo|faccina bugiarda|naso lungo|pinocchio
🫨;faccina tremante;faccina|shock|terremoto|tremante|tremare
🙂‍↔️;scuotere la testa in senso orizzontale;no|scuotere|scuotere la testa in senso orizzontale
🙂‍↕️;scuotere la testa in senso verticale;annuire|scuotere la testa in senso verticale|sì
😌;faccina sollevata;faccina|faccina sollevata
😔;faccina pensierosa;faccina|pensierosa|scoraggiata
😪;faccina assonnata;assonnato|dormire|faccina|faccina assonnata|sonno
🤤;faccina che sbava;bava|faccina|faccina che sbava|sbavare
😴;faccina che dorme;faccina|faccina che dorme|sonno
😷;faccina con mascherina;faccina|faccina con mascherina|maschera|mascherina
🤒;faccina con termometro;ammalato|faccina con termometro|febbre|influenza|termometro
🤕;faccina con la testa bendata;bende|dolore|faccina|faccina bendata|faccina con la testa bendata|farsi male|fasciarsi la testa
🤢;faccina nauseata;faccina|faccina nauseata|nausea|vomito
🤮;faccina che vomita;faccina che vomita|nausea|vomito
🤧;faccina che starnutisce;faccina|faccina che starnutisce|raffreddore|starnuto
🥵;faccina accaldata;caldo|faccina accaldata|faccina sudata|febbricitante|sudore
🥶;faccina congelata;faccina blu|faccina congelata|freddo|gelone|ipotermia
🥴;faccina stordita;faccina con occhi semiaperti|faccina stordita|frastornato|vertigini
😵;faccina frastornata;faccina frastornata|testa che gira
😵‍💫;faccina con occhi a spirale;confuso|faccina con occhi a spirale|ipnotizzato|nausea|problema|stordito
🤯;testa che esplode;scioccato|testa che esplode
🤠;faccina con cappello da cowboy;cappello|cowboy|faccina|faccina con cappello da cowboy
🥳;faccina che festeggia;cappellino|faccina che festeggia|festa|festeggiamenti|party|trombetta
🥸;faccina travestita;faccina|faccina travestita|incognito|naso|occhiali|travestimento
😎;faccina con sorriso e occhiali da sole;faccina|faccina con sorriso e occhiali da sole|occhiali da sole|sorriso|spensierato
🤓;faccina nerd;faccina nerd|nerd|occhiali da nerd|secchione|studioso
🧐;faccina con monocolo;faccina con monocolo|sospetto
😕;faccina confusa;confusa|faccina
🫤;faccina perplessa;così così|deluso|dubbioso|faccina perplessa|meh|perplesso|scettico
😟;faccina preoccupata;faccina|faccina preoccupata|preoccupazione preoccupata
🙁;faccina leggermente imbronciata;corrucciato|faccina|faccina leggermente imbronciata|imbronciato|mettere il muso
☹️;faccina imbronciata;corrucciato|faccina|faccina imbronciata|imbronciato|mettere il muso
😮;faccina con bocca aperta;bocca|faccina|faccina con bocca aperta|sorpreso|stupito
😯;faccina sorpresa;faccina|sbalordita|sorpresa
😲;faccina stupita;faccina|scioccata|stupita
😳;faccina imbarazzata;confuso|faccina|faccina con guance rosse|faccina imbarazzata|imbarazzato
🥺;faccina supplichevole;faccina sull’orlo delle lacrime|faccina supplichevole|implorare|lacrime|quasi in lacrime
🥹;faccina che trattiene le lacrime;arrabbiato|faccina che trattiene le lacrime|fiero|piangere|resistere|triste
😦;faccina imbronciata con bocca aperta;bocca aperta|corrucciata|corrucciata con bocca aperta|faccina|faccina imbronciata con bocca aperta
😧;faccina angosciata;angosciata|faccina|sofferente
😨;faccina impaurita;faccina|impaurita|paura
😰;faccina sudata in ansia;faccina|faccina blu sudata|faccina sotto pressione|faccina sudata in ansia|sudata
😥;faccina delusa ma sollevata;deluso|faccina|faccina delusa ma sollevata|sollevato
😢;faccina che piange;faccina|faccina che piange|lacrime|piangere|triste
😭;faccina disperata;faccina|faccina disperata|lacrime|piangere|pianto
😱;faccina terrorizzata;faccina|grido di paura|paura|terrorizzata
😖;faccina frustrata;faccina|frustrata
😣;faccina perseverante;faccina|perseverante
😞;faccina delusa;delusa|delusione|faccina
😓;faccina abbattuta sudata;delusione|faccina|faccina abbattuta sudata|faccina sudata|sudore
😩;faccina esausta;esausta|faccina|sfinita
😫;faccina stanca;faccina|stanca
🥱;faccina che sbadiglia;annoiata|annoiato|faccina che sbadiglia|sbadiglio|sonno|stanca|stanco
😤;faccina che sbuffa;arrabbiarsi|faccina|faccina che sbuffa|sbuffare
😡;faccina accigliata;arrabbiata|broncio|faccina accigliata|faccina rossa|imbronciata|muso
😠;faccina arrabbiata;arrabbiata|faccina|rabbia
🤬;faccina con simboli sulla bocca;faccina con simboli sulla bocca|imprecare
😈;faccina con sorriso e corna;corna|faccina|faccina con sorriso e corna|sorriso
👿;faccina arrabbiata con corna;diavolo|faccina|faccina arrabbiata con corna
💀;teschio;favola|morte|mostro|teschio
☠️;teschio con ossa incrociate;letale|morte|pericolo|teschio|teschio con ossa incrociate
💩;cacca;cacca|popò|pupù
🤡;faccina pagliaccio;clown|faccina|pagliaccio
👹;orco;faccina|favola|mostro|orco|orco giapponese
👺;goblin;elfo|folletto|goblin|malefico|mostro
👻;fantasma;fantasma|favola|halloween|scherzo|storie di fantasmi
👽;alieno;alieno|extraterrestre|faccina|UFO
👾;mostro alieno;faccina|favola|mostro|mostro alieno|UFO
🤖;faccina di robot;faccina|faccina di robot|robot
😺;gatto che sorride;aperta|bocca|faccina|gatto|gatto che sorride
😸;gatto che sogghigna;faccina|gatto|gatto che sogghigna|gatto con occhi sorridenti|ghigno
😹;gatto con lacrime di gioia;faccina|gatto|gatto con lacrime di gioia|gatto lacrime di gioia|gioia|lacrime|lacrime di gioia
😻;gatto innamorato;amore|cuore|faccina|gatto|gatto innamorato|gatto sorridente con occhi a cuore
😼;gatto con sorriso sarcastico;faccina|gatto|gatto con sorriso sarcastico|gatto sorriso sarcastico|sarcastico|sorriso ironico
😽;gatto che manda baci;bacio|faccina|gatto|gatto che manda baci|occhi chiusi
🙀;gatto esterrefatto;esterrefatto|faccina|gatto|oh mio Dio
😿;gatto che piange;faccina|gatto|gatto che piange|piangere
😾;gatto imbronciato;broncio|faccina|gatto|gatto imbronciato|muso
🙈;non vedo;non vedo|scimmietta|scimmietta non vedo
🙉;non sento;non sento|scimmietta|scimmietta non sento
🙊;non parlo;non parlo|scimmietta|scimmietta non parlo
💌;lettera d’amore;busta con cuore|cuore|lettera d’amore|romanticismo
💘;cuore con freccia;amore|cuore|cuore con freccia|cupido|emozione|freccia
💝;cuore con fiocco;cuore|cuore con fiocco|emozione|fiocco|San Valentino
💖;cuore che luccica;amore|cuore che luccica|emozionato|emozione|luccichio
💗;cuore che cresce;amore|cuore|cuore che cresce|emozionato|nervoso
💓;cuore che batte;amore|battito|cuore|cuore che batte|pulsazione
💞;cuori che girano;adorabile|amore|carino|cuore|cuori che girano
💕;due cuori;amore|due cuori|emozione|innamorati
💟;decorazione con cuore;cuore|decorazione con cuore
❣️;punto esclamativo a cuore;cuore|punteggiatura|punto esclamativo|punto esclamativo a cuore|simbolo
💔;cuore infranto;cuore|emozione|infranto|spezzato
❤️‍🔥;cuore in fiamme;amore|bruciare|cuore in fiamme|cuore sacro|lussuria|passione
❤️‍🩹;cuore guarito;cuore con bende|cuore guarito|guarigione|guarire|sentirsi meglio
❤️;cuore rosso;amore|cuore rosso|rosso
🩷;cuore rosa;amore|cuore|emozione|rosa
🧡;cuore arancione;arancione|cuore|emozione
💛;cuore giallo;cuore|emozione|giallo
💚;cuore verde;cuore|emozione|verde
💙;cuore blu;blu|cuore|emozione
🩵;cuore azzurro;azzurro|celeste|cuore
💜;cuore viola;cuore|emozione|viola
🤎;cuore marrone;cuore|emozione|marrone
🖤;cuore nero;cuore|dolore|nero|tristezza
🩶;cuore grigio;ardesia|argento|cuore|grigio
🤍;cuore bianco;bianco|cuore|emozione
💋;impronta della bocca;bacio|impronta della bocca|labbra|romanticismo|segno delle labbra
💯;100 punti;100|punteggio pieno|punti
💢;rabbia;arrabbiato|emozione|fumetto|rabbia|simbolo rabbia
💥;collisione;collisione|emozione|fumetto|simbolo collisione
💫;stella con scia;emozione|fumetto|stella con scia|stelle|vedere le stelle|vorticoso
💦;gocce di sudore;bagno di sudore|emozione|fumetto|gocce di sudore|sudato|sudore
💨;nuvola di polvere;emozione|fuga|fumetto|nuvola di polvere|scappare
🕳️;buco;buco|fumetto|nero
💬;fumetto;dialogo|fumetto
👁️‍🗨️;occhio nel fumetto;fumetto|nuvoletta|occhio|occhio nel fumetto|testimone
🗨️;nuvoletta nera;dialogo|fumetto|nuvoletta|nuvoletta nera
🗯️;nuvoletta rabbia;dialogo|fumetto|nuvoletta rabbia|rabbia
💭;nuvoletta;fumetto|nuvoletta
💤;sonno;dormire|russare|sonno|Zzz

[people_body]
👋;mano che saluta;mano|mano che saluta|salutare
	👋🏻;mano che saluta: carnagione chiara;carnagione chiara|mano|mano che saluta|mano che saluta: carnagione chiara|salutare
	👋🏼;mano che saluta: carnagione abbastanza chiara;carnagione abbastanza chiara|mano|mano che saluta|mano che saluta: carnagione abbastanza chiara|salutare
	👋🏽;mano che saluta: carnagione olivastra;carnagione olivastra|mano|mano che saluta|mano che saluta: carnagione olivastra|salutare
	👋🏾;mano che saluta: carnagione abbastanza scura;carnagione abbastanza scura|mano|mano che saluta|mano che saluta: carnagione abbastanza scura|salutare
	👋🏿;mano che saluta: carnagione scura;carnagione scura|mano|mano che saluta|mano che saluta: carnagione scura|salutare
🤚;dorso mano alzata;alzata|dorso mano alzata|mano
	🤚🏻;dorso mano alzata: carnagione chiara;alzata|carnagione chiara|dorso mano alzata|dorso mano alzata: carnagione chiara|mano
	🤚🏼;dorso mano alzata: carnagione abbastanza chiara;alzata|carnagione abbastanza chiara|dorso mano alzata|dorso mano alzata: carnagione abbastanza chiara|mano
	🤚🏽;dorso mano alzata: carnagione olivastra;alzata|carnagione olivastra|dorso mano alzata|dorso mano alzata: carnagione olivastra|mano
	🤚🏾;dorso mano alzata: carnagione abbastanza scura;alzata|carnagione abbastanza scura|dorso mano alzata|dorso mano alzata: carnagione abbastanza scura|mano
	🤚🏿;dorso mano alzata: carnagione scura;alzata|carnagione scura|dorso mano alzata|dorso mano alzata: carnagione scura|mano
🖐️;mano aperta;cinque dita|mano alzata|mano aperta|palmo della mano
	🖐🏻;mano aperta: carnagione chiara;carnagione chiara|cinque dita|mano alzata|mano aperta|mano aperta: carnagione chiara|palmo della mano
	🖐🏼;mano aperta: carnagione abbastanza chiara;carnagione abbastanza chiara|cinque dita|mano alzata|mano aperta|mano aperta: carnagione abbastanza chiara|palmo della mano
	🖐🏽;mano aperta: carnagione olivastra;carnagione olivastra|cinque dita|mano alzata|mano aperta|mano aperta: carnagione olivastra|palmo della mano
	🖐🏾;mano aperta: carnagione abbastanza scura;carnagione abbastanza scura|cinque dita|mano alzata|mano aperta|mano aperta: carnagione abbastanza scura|palmo della mano
	🖐🏿;mano aperta: carnagione scura;carnagione scura|cinque dita|mano alzata|mano aperta|mano aperta: carnagione scura|palmo della mano
✋;mano alzata;alzata|carta|mano
	✋🏻;mano alzata: carnagione chiara;alzata|carnagione chiara|carta|mano|mano alzata: carnagione chiara
	✋🏼;mano alzata: carnagione abbastanza chiara;alzata|carnagione abbastanza chiara|carta|mano|mano alzata: carnagione abbastanza chiara
	✋🏽;mano alzata: carnagione olivastra;alzata|carnagione olivastra|carta|mano|mano alzata: carnagione olivastra
	✋🏾;mano alzata: carnagione abbastanza scura;alzata|carnagione abbastanza scura|carta|mano|mano alzata: carnagione abbastanza scura
	✋🏿;mano alzata: carnagione scura;alzata|carnagione scura|carta|mano|mano alzata: carnagione scura
🖖;saluto vulcaniano;saluto|saluto vulcaniano|Spock|Star Trek
	🖖🏻;saluto vulcaniano: carnagione chiara;carnagione chiara|saluto|saluto vulcaniano|saluto vulcaniano: carnagione chiara|Spock|Star Trek
	🖖🏼;saluto vulcaniano: carnagione abbastanza chiara;carnagione abbastanza chiara|saluto|saluto vulcaniano|saluto vulcaniano: carnagione abbastanza chiara|Spock|Star Trek
	🖖🏽;saluto vulcaniano: carnagione olivastra;carnagione olivastra|saluto|saluto vulcaniano|saluto vulcaniano: carnagione olivastra|Spock|Star Trek
	🖖🏾;saluto vulcaniano: carnagione abbastanza scura;carnagione abbastanza scura|saluto|saluto vulcaniano|saluto vulcaniano: carnagione abbastanza scura|Spock|Star Trek
	🖖🏿;saluto vulcaniano: carnagione scura;carnagione scura|saluto|saluto vulcaniano|saluto vulcaniano: carnagione scura|Spock|Star Trek
🫱;mano rivolta a destra;destra|mano|mano rivolta a destra|verso destra
	🫱🏻;mano rivolta a destra: carnagione chiara;carnagione chiara|destra|mano|mano rivolta a destra|mano rivolta a destra: carnagione chiara|verso destra
	🫱🏼;mano rivolta a destra: carnagione abbastanza chiara;carnagione abbastanza chiara|destra|mano|mano rivolta a destra|mano rivolta a destra: carnagione abbastanza chiara|verso destra
	🫱🏽;mano rivolta a destra: carnagione olivastra;carnagione olivastra|destra|mano|mano rivolta a destra|mano rivolta a destra: carnagione olivastra|verso destra
	🫱🏾;mano rivolta a destra: carnagione abbastanza scura;carnagione abbastanza scura|destra|mano|mano rivolta a destra|mano rivolta a destra: carnagione abbastanza scura|verso destra
	🫱🏿;mano rivolta a destra: carnagione scura;carnagione scura|destra|mano|mano rivolta a destra|mano rivolta a destra: carnagione scura|verso destra
🫲;mano rivolta a sinistra;mano|mano rivolta a sinistra|sinistra|verso sinistra
	🫲🏻;mano rivolta a sinistra: carnagione chiara;carnagione chiara|mano|mano rivolta a sinistra|mano rivolta a sinistra: carnagione chiara|sinistra|verso sinistra
	🫲🏼;mano rivolta a sinistra: carnagione abbastanza chiara;carnagione abbastanza chiara|mano|mano rivolta a sinistra|mano rivolta a sinistra: carnagione abbastanza chiara|sinistra|verso sinistra
	🫲🏽;mano rivolta a sinistra: carnagione olivastra;carnagione olivastra|mano|mano rivolta a sinistra|mano rivolta a sinistra: carnagione olivastra|sinistra|verso sinistra
	🫲🏾;mano rivolta a sinistra: carnagione abbastanza scura;carnagione abbastanza scura|mano|mano rivolta a sinistra|mano rivolta a sinistra: carnagione abbastanza scura|sinistra|verso sinistra
	🫲🏿;mano rivolta a sinistra: carnagione scura;carnagione scura|mano|mano rivolta a sinistra|mano rivolta a sinistra: carnagione scura|sinistra|verso sinistra
🫳;mano con il palmo verso il basso;cacciare|congedare|imporre|mano con il palmo verso il basso
	🫳🏻;mano con il palmo verso il basso: carnagione chiara;cacciare|carnagione chiara|congedare|imporre|mano con il palmo verso il basso|mano con il palmo verso il basso: carnagione chiara
	🫳🏼;mano con il palmo verso il basso: carnagione abbastanza chiara;cacciare|carnagione abbastanza chiara|congedare|imporre|mano con il palmo verso il basso|mano con il palmo verso il basso: carnagione abbastanza chiara
	🫳🏽;mano con il palmo verso il basso: carnagione olivastra;cacciare|carnagione olivastra|congedare|imporre|mano con il palmo verso il basso|mano con il palmo verso il basso: carnagione olivastra
	🫳🏾;mano con il palmo verso il basso: carnagione abbastanza scura;cacciare|carnagione abbastanza scura|congedare|imporre|mano con il palmo verso il basso|mano con il palmo verso il basso: carnagione abbastanza scura
	🫳🏿;mano con il palmo verso il basso: carnagione scura;cacciare|carnagione scura|congedare|imporre|mano con il palmo verso il basso|mano con il palmo verso il basso: carnagione scura
🫴;mano con il palmo verso l’alto;mano con il palmo verso l’alto|offrire|prendere|raccogliere|richiamare
	🫴🏻;mano con il palmo verso l’alto: carnagione chiara;carnagione chiara|mano con il palmo verso l’alto|mano con il palmo verso l’alto: carnagione chiara|offrire|prendere|raccogliere|richiamare
	🫴🏼;mano con il palmo verso l’alto: carnagione abbastanza chiara;carnagione abbastanza chiara|mano con il palmo verso l’alto|mano con il palmo verso l’alto: carnagione abbastanza chiara|offrire|prendere|raccogliere|richiamare
	🫴🏽;mano con il palmo verso l’alto: carnagione olivastra;carnagione olivastra|mano con il palmo verso l’alto|mano con il palmo verso l’alto: carnagione olivastra|offrire|prendere|raccogliere|richiamare
	🫴🏾;mano con il palmo verso l’alto: carnagione abbastanza scura;carnagione abbastanza scura|mano con il palmo verso l’alto|mano con il palmo verso l’alto: carnagione abbastanza scura|offrire|prendere|raccogliere|richiamare
	🫴🏿;mano con il palmo verso l’alto: carnagione scura;carnagione scura|mano con il palmo verso l’alto|mano con il palmo verso l’alto: carnagione scura|offrire|prendere|raccogliere|richiamare
🫷;mano che spinge a sinistra;aspettare|fermare|mano che spinge a sinistra|palmo|rifiutare|sinistra|spingere
	🫷🏻;mano che spinge a sinistra: carnagione chiara;aspettare|carnagione chiara|fermare|mano che spinge a sinistra|mano che spinge a sinistra: carnagione chiara|palmo|rifiutare|sinistra|spingere
	🫷🏼;mano che spinge a sinistra: carnagione abbastanza chiara;aspettare|carnagione abbastanza chiara|fermare|mano che spinge a sinistra|mano che spinge a sinistra: carnagione abbastanza chiara|palmo|rifiutare|sinistra|spingere
	🫷🏽;mano che spinge a sinistra: carnagione olivastra;aspettare|carnagione olivastra|fermare|mano che spinge a sinistra|mano che spinge a sinistra: carnagione olivastra|palmo|rifiutare|sinistra|spingere
	🫷🏾;mano che spinge a sinistra: carnagione abbastanza scura;aspettare|carnagione abbastanza scura|fermare|mano che spinge a sinistra|mano che spinge a sinistra: carnagione abbastanza scura|palmo|rifiutare|sinistra|spingere
	🫷🏿;mano che spinge a sinistra: carnagione scura;aspettare|carnagione scura|fermare|mano che spinge a sinistra|mano che spinge a sinistra: carnagione scura|palmo|rifiutare|sinistra|spingere
🫸;mano che spinge a destra;aspettare|destra|fermare|mano che spinge a destra|palmo|rifiutare|spingere
	🫸🏻;mano che spinge a destra: carnagione chiara;aspettare|carnagione chiara|destra|fermare|mano che spinge a destra|mano che spinge a destra: carnagione chiara|palmo|rifiutare|spingere
	🫸🏼;mano che spinge a destra: carnagione abbastanza chiara;aspettare|carnagione abbastanza chiara|destra|fermare|mano che spinge a destra|mano che spinge a destra: carnagione abbastanza chiara|palmo|rifiutare|spingere
	🫸🏽;mano che spinge a destra: carnagione olivastra;aspettare|carnagione olivastra|destra|fermare|mano che spinge a destra|mano che spinge a destra: carnagione olivastra|palmo|rifiutare|spingere
	🫸🏾;mano che spinge a destra: carnagione abbastanza scura;aspettare|carnagione abbastanza scura|destra|fermare|mano che spinge a destra|mano che spinge a destra: carnagione abbastanza scura|palmo|rifiutare|spingere
	🫸🏿;mano che spinge a destra: carnagione scura;aspettare|carnagione scura|destra|fermare|mano che spinge a destra|mano che spinge a destra: carnagione scura|palmo|rifiutare|spingere
👌;mano che fa OK;mano|mano che fa OK|OK|segno di OK
	👌🏻;mano che fa OK: carnagione chiara;carnagione chiara|mano|mano che fa OK|mano che fa OK: carnagione chiara|OK|segno di OK
	👌🏼;mano che fa OK: carnagione abbastanza chiara;carnagione abbastanza chiara|mano|mano che fa OK|mano che fa OK: carnagione abbastanza chiara|OK|segno di OK
	👌🏽;mano che fa OK: carnagione olivastra;carnagione olivastra|mano|mano che fa OK|mano che fa OK: carnagione olivastra|OK|segno di OK
	👌🏾;mano che fa OK: carnagione abbastanza scura;carnagione abbastanza scura|mano|mano che fa OK|mano che fa OK: carnagione abbastanza scura|OK|segno di OK
	👌🏿;mano che fa OK: carnagione scura;carnagione scura|mano|mano che fa OK|mano che fa OK: carnagione scura|OK|segno di OK
🤌;mano a pigna;dita|dita unite|gesto della mano|interrogativo|mano a pigna|sarcastico
	🤌🏻;mano a pigna: carnagione chiara;carnagione chiara|dita|dita unite|gesto della mano|interrogativo|mano a pigna|mano a pigna: carnagione chiara|sarcastico
	🤌🏼;mano a pigna: carnagione abbastanza chiara;carnagione abbastanza chiara|dita|dita unite|gesto della mano|interrogativo|mano a pigna|mano a pigna: carnagione abbastanza chiara|sarcastico
	🤌🏽;mano a pigna: carnagione olivastra;carnagione olivastra|dita|dita unite|gesto della mano|interrogativo|mano a pigna|mano a pigna: carnagione olivastra|sarcastico
	🤌🏾;mano a pigna: carnagione abbastanza scura;carnagione abbastanza scura|dita|dita unite|gesto della mano|interrogativo|mano a pigna|mano a pigna: carnagione abbastanza scura|sarcastico
	🤌🏿;mano a pigna: carnagione scura;carnagione scura|dita|dita unite|gesto della mano|interrogativo|mano a pigna|mano a pigna: carnagione scura|sarcastico
🤏;mano che fa il gesto del pizzico;mano che fa il gesto del pizzico|piccola quantità|poco|un po’|un pochino
	🤏🏻;mano che fa il gesto del pizzico: carnagione chiara;carnagione chiara|mano che fa il gesto del pizzico|mano che fa il gesto del pizzico: carnagione chiara|piccola quantità|poco|un po’|un pochino
	🤏🏼;mano che fa il gesto del pizzico: carnagione abbastanza chiara;carnagione abbastanza chiara|mano che fa il gesto del pizzico|mano che fa il gesto del pizzico: carnagione abbastanza chiara|piccola quantità|poco|un po’|un pochino
	🤏🏽;mano che fa il gesto del pizzico: carnagione olivastra;carnagione olivastra|mano che fa il gesto del pizzico|mano che fa il gesto del pizzico: carnagione olivastra|piccola quantità|poco|un po’|un pochino
	🤏🏾;mano che fa il gesto del pizzico: carnagione abbastanza scura;carnagione abbastanza scura|mano che fa il gesto del pizzico|mano che fa il gesto del pizzico: carnagione abbastanza scura|piccola quantità|poco|un po’|un pochino
	🤏🏿;mano che fa il gesto del pizzico: carnagione scura;carnagione scura|mano che fa il gesto del pizzico|mano che fa il gesto del pizzico: carnagione scura|piccola quantità|poco|un po’|un pochino
✌️;vittoria;forbice|mano|segno di vittoria|vittoria|yeah
	✌🏻;vittoria: carnagione chiara;carnagione chiara|forbice|mano|segno di vittoria|vittoria|vittoria: carnagione chiara|yeah
	✌🏼;vittoria: carnagione abbastanza chiara;carnagione abbastanza chiara|forbice|mano|segno di vittoria|vittoria|vittoria: carnagione abbastanza chiara|yeah
	✌🏽;vittoria: carnagione olivastra;carnagione olivastra|forbice|mano|segno di vittoria|vittoria|vittoria: carnagione olivastra|yeah
	✌🏾;vittoria: carnagione abbastanza scura;carnagione abbastanza scura|forbice|mano|segno di vittoria|vittoria|vittoria: carnagione abbastanza scura|yeah
	✌🏿;vittoria: carnagione scura;carnagione scura|forbice|mano|segno di vittoria|vittoria|vittoria: carnagione scura|yeah
🤞;dita incrociate;dita|dita incrociate|fortuna|incrociare|mano
	🤞🏻;dita incrociate: carnagione chiara;carnagione chiara|dita|dita incrociate|dita incrociate: carnagione chiara|fortuna|incrociare|mano
	🤞🏼;dita incrociate: carnagione abbastanza chiara;carnagione abbastanza chiara|dita|dita incrociate|dita incrociate: carnagione abbastanza chiara|fortuna|incrociare|mano
	🤞🏽;dita incrociate: carnagione olivastra;carnagione olivastra|dita|dita incrociate|dita incrociate: carnagione olivastra|fortuna|incrociare|mano
	🤞🏾;dita incrociate: carnagione abbastanza scura;carnagione abbastanza scura|dita|dita incrociate|dita incrociate: carnagione abbastanza scura|fortuna|incrociare|mano
	🤞🏿;dita incrociate: carnagione scura;carnagione scura|dita|dita incrociate|dita incrociate: carnagione scura|fortuna|incrociare|mano
🫰;mano con indice e pollice incrociati;amore|costoso|cuore|denaro|mano con indice e pollice incrociati|schioccare|soldi
	🫰🏻;mano con indice e pollice incrociati: carnagione chiara;amore|carnagione chiara|costoso|cuore|denaro|mano con indice e pollice incrociati|mano con indice e pollice incrociati: carnagione chiara|schioccare|soldi
