# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grinsendes Gesicht;Gesicht|grinsendes Gesicht|lol|lustig
😵‍💫;Gesicht mit Spiralen als Augen;Gesicht mit Spiralen als Augen|Gesicht mit spiralförmigen Augen|hypnotisiert|schwindelig
🤯;explodierender Kopf;entsetzt|explodierender Kopf|geschockt
🤠;Gesicht mit Cowboyhut;Cowboy|Gesicht|Gesicht mit Cowboyhut|Hut
🥳;Partygesicht;Feiern|Party|Partygesicht
🥸;verkleidet;Brille mit Nase|inkognito|verkleidet|verkleidetes Gesicht|Verkleidung
😎;lächelndes Gesicht mit Sonnenbrille;cool|Gesicht|lächelndes Gesicht mit Sonnenbrille|Sonnenbrille
🤓;Strebergesicht;Gesicht|Nerd|Strebergesicht
🧐;Gesicht mit Monokel;Gesicht mit Monokel|Monokel
😕;verwundertes Gesicht;Gesicht|verwundert|verwundertes Gesicht
🫤;Gesicht mit schrägem Mund;enttäuscht|Gesicht|Gesicht mit schrägem Mund|langweilig|na ja|skeptisch|unsicher
😟;besorgtes Gesicht;besorgt|besorgtes Gesicht|Gesicht
🙁;betrübtes Gesicht;betrübtes Gesicht|Gesicht|traurig
☹️;düsteres Gesicht;düsteres Gesicht|Gesicht|traurig
😮;Gesicht mit offenem Mund;erstaunt|Gesicht|Gesicht mit offenem Mund|offener Mund
😯;verdutztes Gesicht;erstaunt|Gesicht|sprachlos|verdutztes Gesicht
😲;erstauntes Gesicht;erstaunt|erstauntes Gesicht|Gesicht
😳;errötetes Gesicht mit großen Augen;errötetes Gesicht|errötetes Gesicht mit großen Augen|Gesicht|rote Wangen|überrascht
🥺;bettelndes Gesicht;betteln|bettelndes Gesicht|Gnade|Welpenaugen
🥹;Gesicht, das Tränen zurückhält;aufgebracht|das Tränen zurückhält|Gesicht|Gesicht, das Tränen zurückhält|stolz|Tränen zurückhalten|traurig|weinen
😦;entsetztes Gesicht;entsetztes Gesicht|Gesicht|offener Mund|verwundert
😧;qualvolles Gesicht;Gesicht|leidend|qualvolles Gesicht
😨;ängstliches Gesicht;ängstlich|ängstliches Gesicht|Gesicht
😰;besorgtes Gesicht mit Schweißtropfen;besorgtes Gesicht mit Schweißtropfen|Gesicht|kalter Schweiß|offener Mund
😥;trauriges aber erleichtertes Gesicht;enttäuscht|erleichtert|Gesicht|Schweiß|trauriges aber erleichtertes Gesicht
😢;weinendes Gesicht;Gesicht|Träne|traurig|weinendes Gesicht
😭;heulendes Gesicht;Gesicht|heulendes Gesicht|Tränen|traurig
😱;vor Angst schreiendes Gesicht;Angst|Gesicht|schreien|vor Angst schreiendes Gesicht
😖;verwirrtes Gesicht;Gesicht|verwirrt|verwirrtes Gesicht
😣;entschlossenes Gesicht;durchhalten|entschlossenes Gesicht|Gesicht
😞;enttäuschtes Gesicht;enttäuschtes Gesicht|Gesicht|traurig
😓;bedrücktes Gesicht mit Schweiß;Angstschweiß|bedrückt|bedrücktes Gesicht mit Schweiß|Gesicht
😩;erschöpftes Gesicht;erschöpft|erschöpftes Gesicht|Gesicht|müde
😫;müdes Gesicht;Gesicht|müde|müdes Gesicht
🥱;gähnendes Gesicht;gähnen|gähnendes Gesicht|gelangweilt|müde
😤;schnaubendes Gesicht;erleichtert|Gesicht|gewonnen|schnaubendes Gesicht
😡;schmollendes Gesicht;Gesicht|rot|schmollendes Gesicht|wütend
😠;verärgertes Gesicht;Gesicht|verärgert|verärgertes Gesicht
🤬;Gesicht mit Symbolen über dem Mund;fluchen|Gesicht mit Symbolen über dem Mund
😈;grinsendes Gesicht mit Hörnern;grinsendes Gesicht mit Hörnern|Teufel
👿;wütendes Gesicht mit Hörnern;Fantasy|Gesicht|Teufelchen|wütendes Gesicht mit Hörnern
💀;Totenkopf;Gesicht|Tod|tot|Totenkopf
☠️;Totenkopf mit gekreuzten Knochen;Gesicht|Piratenflagge|Tod|tot|Totenkopf|Totenkopf mit gekreuzten Knochen
💩;Kothaufen;Kot|Kothaufen|Mist
🤡;Clown-Gesicht;Clown|Clown-Gesicht|Gesicht
👹;Ungeheuer;Gesicht|Japan|Märchen|Monster|Ungeheuer
👺;Kobold;Gesicht|Japan|Kobold|Märchen|Monster|Tengu
👻;Gespenst;Fantasy|Gesicht|Gespenst|Märchen
👽;Außerirdischer;Alien|Außerirdischer|Gesicht|UFO
👾;Computerspiel-Monster;Computerspiel-Monster|Gesicht|Monster|UFO
🤖;Roboter;Gesicht|Monster|Roboter|Roboterkopf
😺;grinsende Katze;Gesicht|grinsende Katze|grinsendes Katzengesicht|Katze|lol|lustig
😸;grinsende Katze mit lachenden Augen;Gesicht|grinsende Katze mit lachenden Augen|grinsendes Katzengesicht mit lachenden Augen|Katze
😹;Katze mit Freudentränen;Gesicht|Katze|Katze mit Freudentränen|Katzengesicht mit Freudentränen|lachen|Tränen
😻;lachende Katze mit Herzen als Augen;Gesicht|Katze|lachende Katze mit Herzen als Augen|lachendes Katzengesicht mit Herzen als Augen|verliebt
😼;verwegen lächelnde Katze;Gesicht|ironisch|Katze|verwegen lächelnde Katze|verwegen lächelndes Katzengesicht
😽;küssende Katze;Gesicht|Katze|küssende Katze|küssendes Katzengesicht|rote Wangen
🙀;erschöpfte Katze;Angst|erschöpfte Katze|erschöpftes Katzengesicht|Gesicht|Katze|schreien
😿;weinende Katze;Gesicht|Katze|Träne|traurig|weinende Katze|weinendes Katzengesicht
😾;schmollende Katze;Gesicht|Katze|schmollende Katze|schmollendes Katzengesicht|verärgert
🙈;sich die Augen zuhaltendes Affengesicht;Affe|nichts sehen|sich die Augen zuhaltendes Affengesicht|verboten
🙉;sich die Ohren zuhaltendes Affengesicht;Affe|nichts hören|sich die Ohren zuhaltendes Affengesicht|verboten
🙊;sich den Mund zuhaltendes Affengesicht;Affe|nichts sagen|sich den Mund zuhaltendes Affengesicht|verboten
💌;Liebesbrief;Brief|Herz|Liebe|Liebesbrief
💘;Herz mit Pfeil;Herz|Herz mit Pfeil|Liebe|Pfeil
💝;Herz mit Schleife;Herz|Herz mit Schleife|Schleife|Valentinstag
💖;funkelndes Herz;Aufregung|funkelndes Herz|Liebe
💗;wachsendes Herz;Aufregung|Liebe|Nervosität|wachsendes Herz
💓;schlagendes Herz;Herz|Liebe|schlagendes Herz
💞;kreisende Herzen;kreisende Herzen|Liebe
💕;zwei Herzen;Herz|Liebe|zwei Herzen
💟;Herzdekoration;Herz|Herzdekoration
❣️;Herz als Ausrufezeichen;Ausrufezeichen|Herz|Herz als Ausrufezeichen|Satzzeichen
💔;gebrochenes Herz;gebrochenes Herz|Schmerz|Trennung
❤️‍🔥;Herz in Flammen;brennendes Herz|Herz in Flammen|Leidenschaft|Liebe
❤️‍🩹;Herz mit Verband;Besserung|genesen|Herz mit Verband
❤️;rotes Herz;Herz|rotes Herz
🩷;pinkes Herz;flirten|Herz|pink|pinkes Herz|süß|verliebt
🧡;oranges Herz;orange|oranges Herz
💛;gelbes Herz;gelb|gelbes Herz|Herz
💚;grünes Herz;grün|grünes Herz|Herz
💙;blaues Herz;blau|blaues Herz|Herz
🩵;hellblaues Herz;aquamarin|hellblau|hellblaues Herz|Herz|türkis
💜;lila Herz;Herz|lila
🤎;braunes Herz;braun|braunes Herz|Herz
🖤;schwarzes Herz;böse|Herz|schwarz|schwarzes Herz
🩶;graues Herz;grau|graues Herz|Herz|schieferfarben|silberfarben
🤍;weißes Herz;Herz|weiß|weißes Herz
💋;Kussabdruck;Kuss|Kussabdruck|Lippen
💯;100 Punkte;100|100 Punkte|Punktestand|volle Punktzahl
💢;Ärger;Ärger|Comic|Wut
💥;Zusammenstoß;Comic|Kollision|Zusammenstoß
💫;schwindlig;Benommenheit|Comic|schwindlig|Stern|Sterne sehen
💦;Schweißtropfen;Comic|Schweiß|Schweißtropfen
💨;Staubwolke;Comic|rennen|Staubwolke|weglaufen
🕳️;Loch;Loch|schwarz
💬;Sprechblase mit drei Punkten;Dialog|Gespräch|Sprechblase|Sprechblase mit drei Punkten|Unterhaltung
👁️‍🗨️;Auge in Sprechblase;Auge|Auge in Sprechblase|Dialog|reden|sprechen
🗨️;Sprechblase links;Dialog|reden|Sprechblase links|sprechen|Unterhaltung
🗯️;Sprechblase für wütende Aussage rechts;Sprechblase|Sprechblase für wütende Aussage rechts|wütend
💭;Gedankenblase;Comic|Gedankenblase|Nachdenken
💤;Schlafen;Comic|Schlaf|Schlafen|Schnarchen|ZZZ

[people_body]
👋;winkende Hand;Hand|Winken|winkende Hand
	👋🏻;winkende Hand: helle Hautfarbe;Hand|helle Hautfarbe|Winken|winkende Hand|winkende Hand: helle Hautfarbe
	👋🏼;winkende Hand: mittelhelle Hautfarbe;Hand|mittelhelle Hautfarbe|Winken|winkende Hand|winkende Hand: mittelhelle Hautfarbe
	👋🏽;winkende Hand: mittlere Hautfarbe;Hand|mittlere Hautfarbe|Winken|winkende Hand|winkende Hand: mittlere Hautfarbe
	👋🏾;winkende Hand: mitteldunkle Hautfarbe;Hand|mitteldunkle Hautfarbe|Winken|winkende Hand|winkende Hand: mitteldunkle Hautfarbe
	👋🏿;winkende Hand: dunkle Hautfarbe;dunkle Hautfarbe|Hand|Winken|winkende Hand|winkende Hand: dunkle Hautfarbe
🤚;erhobene Hand von hinten;erhoben|erhobene Hand von hinten|erhobener Handrücken|Hand
	🤚🏻;erhobene Hand von hinten: helle Hautfarbe;erhoben|erhobene Hand von hinten|erhobene Hand von hinten: helle Hautfarbe|erhobener Handrücken|Hand|helle Hautfarbe
	🤚🏼;erhobene Hand von hinten: mittelhelle Hautfarbe;erhoben|erhobene Hand von hinten|erhobene Hand von hinten: mittelhelle Hautfarbe|erhobener Handrücken|Hand|mittelhelle Hautfarbe
	🤚🏽;erhobene Hand von hinten: mittlere Hautfarbe;erhoben|erhobene Hand von hinten|erhobene Hand von hinten: mittlere Hautfarbe|erhobener Handrücken|Hand|mittlere Hautfarbe
	🤚🏾;erhobene Hand von hinten: mitteldunkle Hautfarbe;erhoben|erhobene Hand von hinten|erhobene Hand von hinten: mitteldunkle Hautfarbe|erhobener Handrücken|Hand|mitteldunkle Hautfarbe
	🤚🏿;erhobene Hand von hinten: dunkle Hautfarbe;dunkle Hautfarbe|erhoben|erhobene Hand von hinten|erhobene Hand von hinten: dunkle Hautfarbe|erhobener Handrücken|Hand
🖐️;Hand mit gespreizten Fingern;5|Finger|fünf|gespreizt|Hand|Hand mit gespreizten Fingern
	🖐🏻;Hand mit gespreizten Fingern: helle Hautfarbe;5|Finger|fünf|gespreizt|Hand|Hand mit gespreizten Fingern|Hand mit gespreizten Fingern: helle Hautfarbe|helle Hautfarbe
	🖐🏼;Hand mit gespreizten Fingern: mittelhelle Hautfarbe;5|Finger|fünf|gespreizt|Hand|Hand mit gespreizten Fingern|Hand mit gespreizten Fingern: mittelhelle Hautfarbe|mittelhelle Hautfarbe
	🖐🏽;Hand mit gespreizten Fingern: mittlere Hautfarbe;5|Finger|fünf|gespreizt|Hand|Hand mit gespreizten Fingern|Hand mit gespreizten Fingern: mittlere Hautfarbe|mittlere Hautfarbe
	🖐🏾;Hand mit gespreizten Fingern: mitteldunkle Hautfarbe;5|Finger|fünf|gespreizt|Hand|Hand mit gespreizten Fingern|Hand mit gespreizten Fingern: mitteldunkle Hautfarbe|mitteldunkle Hautfarbe
	🖐🏿;Hand mit gespreizten Fingern: dunkle Hautfarbe;5|dunkle Hautfarbe|Finger|fünf|gespreizt|Hand|Hand mit gespreizten Fingern|Hand mit gespreizten Fingern: dunkle Hautfarbe
✋;erhobene Hand;erhobene Hand|Hand
	✋🏻;erhobene Hand: helle Hautfarbe;erhobene Hand|erhobene Hand: helle Hautfarbe|Hand|helle Hautfarbe
	✋🏼;erhobene Hand: mittelhelle Hautfarbe;erhobene Hand|erhobene Hand: mittelhelle Hautfarbe|Hand|mittelhelle Hautfarbe
	✋🏽;erhobene Hand: mittlere Hautfarbe;erhobene Hand|erhobene Hand: mittlere Hautfarbe|Hand|mittlere Hautfarbe
	✋🏾;erhobene Hand: mitteldunkle Hautfarbe;erhobene Hand|erhobene Hand: mitteldunkle Hautfarbe|Hand|mitteldunkle Hautfarbe
	✋🏿;erhobene Hand: dunkle Hautfarbe;dunkle Hautfarbe|erhobene Hand|erhobene Hand: dunkle Hautfarbe|Hand
🖖;vulkanischer Gruß;lebe lang und in Frieden|Spock|spreizen|Star Trek|vulkanisch|vulkanischer Gruß
	🖖🏻;vulkanischer Gruß: helle Hautfarbe;helle Hautfarbe|lebe lang und in Frieden|Spock|spreizen|Star Trek|vulkanisch|vulkanischer Gruß|vulkanischer Gruß: helle Hautfarbe
	🖖🏼;vulkanischer Gruß: mittelhelle Hautfarbe;lebe lang und in Frieden|mittelhelle Hautfarbe|Spock|spreizen|Star Trek|vulkanisch|vulkanischer Gruß|vulkanischer Gruß: mittelhelle Hautfarbe
	🖖🏽;vulkanischer Gruß: mittlere Hautfarbe;lebe lang und in Frieden|mittlere Hautfarbe|Spock|spreizen|Star Trek|vulkanisch|vulkanischer Gruß|vulkanischer Gruß: mittlere Hautfarbe
	🖖🏾;vulkanischer Gruß: mitteldunkle Hautfarbe;lebe lang und in Frieden|mitteldunkle Hautfarbe|Spock|spreizen|Star Trek|vulkanisch|vulkanischer Gruß|vulkanischer Gruß: mitteldunkle Hautfarbe
	🖖🏿;vulkanischer Gruß: dunkle Hautfarbe;dunkle Hautfarbe|lebe lang und in Frieden|Spock|spreizen|Star Trek|vulkanisch|vulkanischer Gruß|vulkanischer Gruß: dunkle Hautfarbe
🫱;nach rechts weisende Hand;Hand|nach rechts weisend|nach rechts weisende Hand|rechts
	🫱🏻;nach rechts weisende Hand: helle Hautfarbe;Hand|helle Hautfarbe|nach rechts weisend|nach rechts weisende Hand|nach rechts weisende Hand: helle Hautfarbe|rechts
	🫱🏼;nach rechts weisende Hand: mittelhelle Hautfarbe;Hand|mittelhelle Hautfarbe|nach rechts weisend|nach rechts weisende Hand|nach rechts weisende Hand: mittelhelle Hautfarbe|rechts
	🫱🏽;nach rechts weisende Hand: mittlere Hautfarbe;Hand|mittlere Hautfarbe|nach rechts weisend|nach rechts weisende Hand|nach rechts weisende Hand: mittlere Hautfarbe|rechts
	🫱🏾;nach rechts weisende Hand: mitteldunkle Hautfarbe;Hand|mitteldunkle Hautfarbe|nach rechts weisend|nach rechts weisende Hand|nach rechts weisende Hand: mitteldunkle Hautfarbe|rechts
	🫱🏿;nach rechts weisende Hand: dunkle Hautfarbe;dunkle Hautfarbe|Hand|nach rechts weisend|nach rechts weisende Hand|nach rechts weisende Hand: dunkle Hautfarbe|rechts
🫲;nach links weisende Hand;Hand|links|nach links weisend|nach links weisende Hand
	🫲🏻;nach links weisende Hand: helle Hautfarbe;Hand|helle Hautfarbe|links|nach links weisend|nach links weisende Hand|nach links weisende Hand: helle Hautfarbe
	🫲🏼;nach links weisende Hand: mittelhelle Hautfarbe;Hand|links|mittelhelle Hautfarbe|nach links weisend|nach links weisende Hand|nach links weisende Hand: mittelhelle Hautfarbe
	🫲🏽;nach links weisende Hand: mittlere Hautfarbe;Hand|links|mittlere Hautfarbe|nach links weisend|nach links weisende Hand|nach links weisende Hand: mittlere Hautfarbe
	🫲🏾;nach links weisende Hand: mitteldunkle Hautfarbe;Hand|links|mitteldunkle Hautfarbe|nach links weisend|nach links weisende Hand|nach links weisende Hand: mitteldunkle Hautfarbe
	🫲🏿;nach links weisende Hand: dunkle Hautfarbe;dunkle Hautfarbe|Hand|links|nach links weisend|nach links weisende Hand|nach links weisende Hand: dunkle Hautfarbe
🫳;Hand mit Handfläche nach unten;abweisen|Hand mit Handfläche nach unten|Handgeste|hau ab|von sich weisen|wegscheuchen|wegschicken
	🫳🏻;Hand mit Handfläche nach unten: helle Hautfarbe;abweisen|Hand mit Handfläche nach unten|Hand mit Handfläche nach unten: helle Hautfarbe|Handgeste|hau ab|helle Hautfarbe|von sich weisen|wegscheuchen|wegschicken
	🫳🏼;Hand mit Handfläche nach unten: mittelhelle Hautfarbe;abweisen|Hand mit Handfläche nach unten|Hand mit Handfläche nach unten: mittelhelle Hautfarbe|Handgeste|hau ab|mittelhelle Hautfarbe|von sich weisen|wegscheuchen|wegschicken
	🫳🏽;Hand mit Handfläche nach unten: mittlere Hautfarbe;abweisen|Hand mit Handfläche nach unten|Hand mit Handfläche nach unten: mittlere Hautfarbe|Handgeste|hau ab|mittlere Hautfarbe|von sich weisen|wegscheuchen|wegschicken
	🫳🏾;Hand mit Handfläche nach unten: mitteldunkle Hautfarbe;abweisen|Hand mit Handfläche nach unten|Hand mit Handfläche nach unten: mitteldunkle Hautfarbe|Handgeste|hau ab|mitteldunkle Hautfarbe|von sich weisen|wegscheuchen|wegschicken
	🫳🏿;Hand mit Handfläche nach unten: dunkle Hautfarbe;abweisen|dunkle Hautfarbe|Hand mit Handfläche nach unten|Hand mit Handfläche nach unten: dunkle Hautfarbe|Handgeste|hau ab|von sich weisen|wegscheuchen|wegschicken
🫴;Hand mit Handfläche nach oben;anbieten|darbieten|einladen|Hand mit Handfläche nach oben|Handgeste|kommen|locken
	🫴🏻;Hand mit Handfläche nach oben: helle Hautfarbe;anbieten|darbieten|einladen|Hand mit Handfläche nach oben|Hand mit Handfläche nach oben: helle Hautfarbe|Handgeste|helle Hautfarbe|kommen|locken
	🫴🏼;Hand mit Handfläche nach oben: mittelhelle Hautfarbe;anbieten|darbieten|einladen|Hand mit Handfläche nach oben|Hand mit Handfläche nach oben: mittelhelle Hautfarbe|Handgeste|kommen|locken|mittelhelle Hautfarbe
	🫴🏽;Hand mit Handfläche nach oben: mittlere Hautfarbe;anbieten|darbieten|einladen|Hand mit Handfläche nach oben|Hand mit Handfläche nach oben: mittlere Hautfarbe|Handgeste|kommen|locken|mittlere Hautfarbe
	🫴🏾;Hand mit Handfläche nach oben: mitteldunkle Hautfarbe;anbieten|darbieten|einladen|Hand mit Handfläche nach oben|Hand mit Handfläche nach oben: mitteldunkle Hautfarbe|Handgeste|kommen|locken|mitteldunkle Hautfarbe
	🫴🏿;Hand mit Handfläche nach oben: dunkle Hautfarbe;anbieten|darbieten|dunkle Hautfarbe|einladen|Hand mit Handfläche nach oben|Hand mit Handfläche nach oben: dunkle Hautfarbe|Handgeste|kommen|locken
🫷;nach links schiebende Hand;High five|nach links|nach links schiebende Hand|schieben|stopp|warte mal
	🫷🏻;nach links schiebende Hand: helle Hautfarbe;helle Hautfarbe|High five|nach links|nach links schiebende Hand|nach links schiebende Hand: helle Hautfarbe|schieben|stopp|warte mal
	🫷🏼;nach links schiebende Hand: mittelhelle Hautfarbe;High five|mittelhelle Hautfarbe|nach links|nach links schiebende Hand|nach links schiebende Hand: mittelhelle Hautfarbe|schieben|stopp|warte mal
	🫷🏽;nach links schiebende Hand: mittlere Hautfarbe;High five|mittlere Hautfarbe|nach links|nach links schiebende Hand|nach links schiebende Hand: mittlere Hautfarbe|schieben|stopp|warte mal
	🫷🏾;nach links schiebende Hand: mitteldunkle Hautfarbe;High five|mitteldunkle Hautfarbe|nach links|nach links schiebende Hand|nach links schiebende Hand: mitteldunkle Hautfarbe|schieben|stopp|warte mal
	🫷🏿;nach links schiebende Hand: dunkle Hautfarbe;dunkle Hautfarbe|High five|nach links|nach links schiebende Hand|nach links schiebende Hand: dunkle Hautfarbe|schieben|stopp|warte mal
🫸;nach rechts schiebende Hand;High 5|High five|nach rechts|nach rechts schiebende Hand|schieben|stopp|warte mal
	🫸🏻;nach rechts schiebende Hand: helle Hautfarbe;helle Hautfarbe|High 5|High five|nach rechts|nach rechts schiebende Hand|nach rechts schiebende Hand: helle Hautfarbe|schieben|stopp|warte mal
	🫸🏼;nach rechts schiebende Hand: mittelhelle Hautfarbe;High 5|High five|mittelhelle Hautfarbe|nach rechts|nach rechts schiebende Hand|nach rechts schiebende Hand: mittelhelle Hautfarbe|schieben|stopp|warte mal
	🫸🏽;nach rechts schiebende Hand: mittlere Hautfarbe;High 5|High five|mittlere Hautfarbe|nach rechts|nach rechts schiebende Hand|nach rechts schiebende Hand: mittlere Hautfarbe|schieben|stopp|warte mal
	🫸🏾;nach rechts schiebende Hand: mitteldunkle Hautfarbe;High 5|High five|mitteldunkle Hautfarbe|nach rechts|nach rechts schiebende Hand|nach rechts schiebende Hand: mitteldunkle Hautfarbe|schieben|stopp|warte mal
	🫸🏿;nach rechts schiebende Hand: dunkle Hautfarbe;dunkle Hautfarbe|High 5|High five|nach rechts|nach rechts schiebende Hand|nach rechts schiebende Hand: dunkle Hautfarbe|schieben|stopp|warte mal
👌;OK-Zeichen;exzellent|Hand|in Ordnung|OK|OK-Zeichen|perfekt
	👌🏻;OK-Zeichen: helle Hautfarbe;exzellent|Hand|helle Hautfarbe|in Ordnung|OK|OK-Zeichen|OK-Zeichen: helle Hautfarbe|perfekt
